id,node_id,seq,n_samples,round_id,w0,w1,w2,w3,rssi,snr,checksum_ok,received_at
1,1,28,28,0,0.612954,0.312854,0.016257,0.026604,-66,10.25,t,2026-08-27 18:34:39.876218+00
2,2,4,4,0,0.646324,0.287155,0.043157,0.079921,-35,9.5,t,2026-08-27 18:35:36.257738+00
3,1,32,32,0,0.612949,0.312842,0.016272,0.026611,-68,9.25,t,2026-08-27 18:35:39.879854+00
4,2,8,8,0,0.64622,0.199818,0.04234,0.078073,-34,9.75,t,2026-08-27 18:36:36.1686+00
5,1,36,32,0,0.612951,0.312845,0.016265,0.026618,-66,10,t,2026-08-27 18:36:39.787419+00
6,1,40,32,0,0.612957,0.312851,0.016253,0.026632,-66,9.75,t,2026-08-27 18:37:39.842792+00
7,2,16,16,0,0.662672,0.097352,0.057942,0.105869,-102,-3,t,2026-08-27 18:38:36.16435+00
8,1,44,32,0,0.612963,0.312857,0.016252,0.026652,-66,9.75,t,2026-08-27 18:38:39.755221+00
9,2,20,20,0,0.667551,0.070161,0.062981,0.114839,-102,-3.25,t,2026-08-27 18:39:36.181727+00
10,1,48,32,0,0.612965,0.312862,0.016255,0.026666,-66,10,t,2026-08-27 18:39:39.761441+00
11,2,24,24,0,0.670455,0.051495,0.066448,0.121069,-102,-3.5,t,2026-08-27 18:40:36.183838+00
12,1,52,32,0,0.612965,0.312866,0.016266,0.02668,-66,10.25,t,2026-08-27 18:40:39.915266+00
13,2,28,28,0,0.671948,0.036997,0.068222,0.124433,-101,-0.25,t,2026-08-27 18:41:36.158355+00
14,1,56,32,0,0.61296,0.312866,0.016268,0.026687,-66,9.75,t,2026-08-27 18:41:39.818911+00
15,2,32,32,0,0.673679,0.027606,0.069882,0.127717,-100,-0.75,t,2026-08-27 18:42:36.156565+00
16,1,60,32,0,0.612951,0.312859,0.016265,0.026686,-66,10.25,t,2026-08-27 18:42:39.783991+00
17,2,36,32,0,0.672996,0.027686,0.069431,0.127311,-100,1.75,t,2026-08-27 18:43:36.15362+00
18,1,64,32,0,0.61288,0.312791,0.016186,0.026555,-66,10,t,2026-08-27 18:43:39.788755+00
19,2,40,32,0,0.672446,0.027886,0.0688,0.126923,-99,2.25,t,2026-08-27 18:44:36.153484+00
20,1,68,32,0,0.61288,0.312792,0.016191,0.026568,-66,9.75,t,2026-08-27 18:44:39.845009+00
21,2,44,32,0,0.672179,0.027914,0.068913,0.127138,-100,1.25,t,2026-08-27 18:45:36.161502+00
22,1,72,32,0,0.612931,0.312846,0.01626,0.026694,-66,9.5,t,2026-08-27 18:45:39.803078+00
23,2,48,32,0,0.672663,0.028431,0.070053,0.128851,-102,-3.75,t,2026-08-27 18:46:36.165576+00
24,1,76,32,0,0.61293,0.312863,0.016278,0.026731,-66,10.5,t,2026-08-27 18:46:39.911694+00
25,2,52,32,0,0.67241,0.028419,0.070701,0.129265,-102,-3,t,2026-08-27 18:47:36.146974+00
26,1,80,32,0,0.612859,0.312807,0.016205,0.026622,-66,9.75,t,2026-08-27 18:47:39.815775+00
27,2,56,32,0,0.672618,0.028887,0.071027,0.129211,-102,-2.25,t,2026-08-27 18:48:36.491241+00
28,1,84,32,0,0.612836,0.312791,0.016176,0.026599,-67,9.25,t,2026-08-27 18:48:39.927359+00
29,2,60,32,0,0.672403,0.02964,0.071125,0.128948,-102,-2.5,t,2026-08-27 18:49:36.144962+00
30,1,88,32,0,0.612825,0.312794,0.016173,0.026613,-66,9.75,t,2026-08-27 18:49:39.771112+00
31,2,64,32,0,0.672642,0.030806,0.071737,0.129528,-101,-2.5,t,2026-08-27 18:50:36.141637+00
32,1,92,32,0,0.612817,0.312796,0.016171,0.026629,-67,9.75,t,2026-08-27 18:50:39.836857+00
33,2,68,32,0,0.671987,0.030939,0.071517,0.12901,-102,-2.75,t,2026-08-27 18:51:36.140217+00
34,1,96,32,0,0.612805,0.312799,0.016163,0.026635,-66,10,t,2026-08-27 18:51:39.871028+00
35,2,72,32,0,0.671252,0.031111,0.071628,0.129402,-101,-1.5,t,2026-08-27 18:52:36.272291+00
36,1,100,32,0,0.612776,0.312784,0.016131,0.026603,-66,10,t,2026-08-27 18:52:39.793552+00
37,2,76,32,0,0.670481,0.03147,0.072222,0.13061,-100,0.5,t,2026-08-27 18:53:36.136719+00
38,1,104,32,0,0.612783,0.312795,0.016149,0.026636,-66,9.5,t,2026-08-27 18:53:39.809785+00
39,2,80,32,0,0.669527,0.031639,0.072627,0.131429,-101,-0.25,t,2026-08-27 18:54:36.13519+00
40,1,108,32,0,0.612778,0.31279,0.016157,0.026647,-66,10.25,t,2026-08-27 18:54:39.861716+00
41,2,84,32,0,0.668172,0.031094,0.072505,0.131165,-101,-1.25,t,2026-08-27 18:55:36.233717+00
42,1,112,32,0,0.612779,0.312793,0.016168,0.026667,-66,9.75,t,2026-08-27 18:55:39.815916+00
43,2,88,32,0,0.667519,0.030987,0.07297,0.131729,-99,2,t,2026-08-27 18:56:36.131022+00
44,1,116,32,0,0.612778,0.312798,0.016176,0.026686,-66,9.75,t,2026-08-27 18:56:39.878179+00
45,2,92,32,0,0.66686,0.030732,0.073082,0.132006,-102,-1.25,t,2026-08-27 18:57:36.130186+00
46,1,120,32,0,0.612711,0.312734,0.016116,0.026564,-68,9.75,t,2026-08-27 18:57:39.824496+00
47,2,96,32,0,0.66611,0.030351,0.072915,0.132087,-101,0,t,2026-08-27 18:58:37.030916+00
48,1,124,32,0,0.61271,0.312735,0.016142,0.02658,-67,10,t,2026-08-27 18:58:41.138362+00
49,2,100,32,0,0.66575,0.030724,0.073229,0.133088,-101,-1.75,t,2026-08-27 18:59:36.125382+00
50,1,128,32,0,0.612706,0.312734,0.016163,0.026592,-68,9.25,t,2026-08-27 18:59:39.857805+00
51,2,104,32,0,0.665071,0.030693,0.073073,0.133228,-102,-3.25,t,2026-08-27 19:00:36.130466+00
