id,node_id,seq,n_samples,round_id,w0,w1,w2,w3,rssi,snr,checksum_ok,received_at
393,2,28,28,0,0.672986,0.00751,0.085439,0.131445,-105,-5.25,t,2026-08-31 17:30:29.344976+00
394,1,36,32,0,0.613049,0.312974,0.018679,0.024767,-84,9.5,t,2026-08-31 17:30:31.278242+00
395,2,32,32,0,0.674053,0.000822,0.087818,0.135104,-103,-5.75,t,2026-08-31 17:31:29.300358+00
396,1,40,32,0,0.613057,0.312979,0.018689,0.024807,-73,10,t,2026-08-31 17:31:31.293717+00
397,1,44,32,0,0.613009,0.312926,0.01862,0.024725,-72,10.75,t,2026-08-31 17:32:31.412256+00
398,2,40,32,0,0.671329,0.001596,0.087731,0.134971,-103,-8,t,2026-08-31 17:33:29.297423+00
399,1,48,32,0,0.613056,0.312968,0.018687,0.024819,-72,9.5,t,2026-08-31 17:33:31.3212+00
400,1,52,32,0,0.613003,0.312914,0.018617,0.024723,-72,9.5,t,2026-08-31 17:34:31.466685+00
401,2,48,32,0,0.668898,0.002675,0.088198,0.135689,-103,-8.75,t,2026-08-31 17:35:29.291992+00
402,1,56,32,0,0.612943,0.312856,0.018529,0.02461,-71,10,t,2026-08-31 17:35:31.376283+00
403,2,52,32,0,0.667817,0.003552,0.088743,0.136527,-104,-7,t,2026-08-31 17:36:29.291465+00
404,1,60,32,0,0.612957,0.312869,0.01854,0.024642,-71,9.25,t,2026-08-31 17:36:31.332047+00
405,2,56,32,0,0.665991,0.003901,0.088571,0.136263,-103,-7.5,t,2026-08-31 17:37:29.289585+00
406,1,64,32,0,0.612961,0.31287,0.018539,0.02465,-69,9.5,t,2026-08-31 17:37:31.502324+00
407,2,60,32,0,0.664574,0.004365,0.088652,0.136387,-103,-6,t,2026-08-31 17:38:29.28753+00
408,1,68,32,0,0.612957,0.312865,0.018541,0.024651,-70,9.25,t,2026-08-31 17:38:31.321136+00
409,2,64,32,0,0.663261,0.004887,0.088875,0.136731,-102,-1.75,t,2026-08-31 17:39:29.28593+00
410,1,72,32,0,0.612947,0.312855,0.018547,0.024647,-71,10.25,t,2026-08-31 17:39:31.404308+00
411,2,68,32,0,0.662195,0.005152,0.088977,0.136888,-97,4.5,t,2026-08-31 17:40:29.282583+00
412,1,76,32,0,0.612943,0.31285,0.018557,0.024651,-79,9.5,t,2026-08-31 17:40:31.287926+00
413,2,72,32,0,0.661557,0.005727,0.089445,0.137607,-98,3.5,t,2026-08-31 17:41:29.370248+00
414,1,80,32,0,0.612879,0.312784,0.018462,0.024529,-71,9.5,t,2026-08-31 17:41:31.327326+00
415,2,76,32,0,0.660888,0.006117,0.089872,0.138265,-98,3,t,2026-08-31 17:42:29.279291+00
416,1,84,32,0,0.612827,0.312727,0.018375,0.024421,-90,0.75,t,2026-08-31 17:42:31.334701+00
417,2,80,32,0,0.6599,0.006182,0.090017,0.138487,-103,-6.5,t,2026-08-31 17:43:29.279618+00
418,1,88,32,0,0.612836,0.312734,0.018366,0.024421,-71,10.5,t,2026-08-31 17:43:31.376105+00
419,1,92,32,0,0.612807,0.312708,0.018309,0.024342,-76,9.25,t,2026-08-31 17:44:31.379943+00
420,2,88,32,0,0.65796,0.005747,0.089858,0.138469,-102,-6,t,2026-08-31 17:45:29.34095+00
421,1,96,32,0,0.612822,0.312727,0.018332,0.024361,-74,9.75,t,2026-08-31 17:45:31.143186+00
422,2,92,32,0,0.658045,0.006422,0.09048,0.139932,-105,-8.75,t,2026-08-31 17:46:29.272204+00
423,1,100,32,0,0.612823,0.312735,0.018354,0.024373,-81,9,t,2026-08-31 17:46:31.391372+00
424,1,104,32,0,0.612817,0.312734,0.018373,0.024382,-72,9.25,t,2026-08-31 17:47:31.402074+00
425,2,100,32,0,0.656805,0.006111,0.090401,0.14076,-103,-10.5,t,2026-08-31 17:48:29.268367+00
426,1,108,32,0,0.612748,0.312673,0.0183,0.024266,-74,9.75,t,2026-08-31 17:48:31.384396+00
427,2,148,32,0,0.646794,0.011381,0.090837,0.14343,-97,4.25,t,2026-08-31 18:00:29.546087+00
428,1,156,32,0,0.612689,0.312609,0.018265,0.024192,-67,10,t,2026-08-31 18:00:31.336565+00
429,2,152,32,0,0.646094,0.011025,0.090633,0.14311,-100,1.5,t,2026-08-31 18:01:29.246353+00
430,1,160,32,0,0.612695,0.312612,0.018271,0.024205,-76,9.25,t,2026-08-31 18:01:31.19261+00
431,2,156,32,0,0.645804,0.011097,0.090996,0.143678,-101,0.25,t,2026-08-31 18:02:29.4079+00
432,1,164,32,0,0.612635,0.31255,0.018178,0.024084,-81,8,t,2026-08-31 18:02:31.247543+00
433,2,160,32,0,0.645238,0.010811,0.090938,0.143587,-98,0,t,2026-08-31 18:03:29.24076+00
434,1,168,32,0,0.612649,0.312565,0.018199,0.024113,-68,9.5,t,2026-08-31 18:03:31.199999+00
435,2,164,32,0,0.644685,0.010521,0.09091,0.143543,-98,-1.25,t,2026-08-31 18:04:29.266733+00
436,1,172,32,0,0.612647,0.312563,0.018209,0.02413,-80,9.5,t,2026-08-31 18:04:31.366219+00
437,2,168,32,0,0.644499,0.010732,0.091424,0.144346,-99,-2.5,t,2026-08-31 18:05:29.288025+00
438,1,176,32,0,0.612582,0.312511,0.018139,0.024032,-79,9.75,t,2026-08-31 18:05:31.225563+00
439,2,172,32,0,0.643787,0.01064,0.09144,0.144372,-99,-2.5,t,2026-08-31 18:06:29.491258+00
440,1,180,32,0,0.612617,0.312565,0.018261,0.02419,-70,9.25,t,2026-08-31 18:06:31.429454+00
441,2,176,32,0,0.643582,0.011066,0.091972,0.145203,-99,-3.75,t,2026-08-31 18:07:29.389622+00
442,1,184,32,0,0.612575,0.312542,0.018272,0.024198,-74,9.75,t,2026-08-31 18:07:31.270163+00
443,2,180,32,0,0.642735,0.01116,0.09202,0.145278,-100,-7,t,2026-08-31 18:08:29.231177+00
444,1,188,32,0,0.612534,0.31252,0.018285,0.024211,-72,9.5,t,2026-08-31 18:08:31.220031+00
445,2,184,32,0,0.641786,0.011341,0.091958,0.145181,-100,-5,t,2026-08-31 18:09:29.275665+00
446,1,192,32,0,0.61243,0.312438,0.018214,0.024105,-72,10,t,2026-08-31 18:09:31.367778+00
447,2,188,32,0,0.640778,0.011431,0.091841,0.144997,-100,-5,t,2026-08-31 18:10:29.291324+00
448,1,196,32,0,0.612402,0.312432,0.018247,0.024137,-72,9.75,t,2026-08-31 18:10:31.345098+00
449,2,192,32,0,0.64046,0.012275,0.092475,0.145989,-98,-1.25,t,2026-08-31 18:11:29.444371+00
450,1,200,32,0,0.612363,0.312411,0.018266,0.024145,-71,9.75,t,2026-08-31 18:11:31.435314+00
451,2,196,32,0,0.639185,0.012216,0.092158,0.145493,-99,-3,t,2026-08-31 18:12:29.224706+00
