id,node_id,seq,temperature,humidity,rssi,snr,uptime_s,checksum_ok,error,received_at
2079,2,26,29.6,65,-104,-0.5,405,t,,2026-08-31 17:30:13.837623+00
2080,1,34,26,72.4,-68,9.5,525,t,,2026-08-31 17:30:15.900305+00
2081,2,27,29,65,-106,-5.5,420,t,,2026-08-31 17:30:28.840904+00
2082,1,35,26,72.5,-85,9.25,540,t,,2026-08-31 17:30:30.899739+00
2083,2,28,29.7,65,-104,-8.75,435,t,,2026-08-31 17:30:43.837319+00
2084,1,36,26,72.6,-76,10,555,t,,2026-08-31 17:30:45.899402+00
2085,2,29,29.8,65,-103,-6.75,450,t,,2026-08-31 17:30:58.836661+00
2086,1,37,26,72.6,-74,9.5,570,t,,2026-08-31 17:31:00.898778+00
2087,2,30,29.4,65,-104,-6.75,465,t,,2026-08-31 17:31:13.839592+00
2088,1,38,26,72.7,-75,10,585,t,,2026-08-31 17:31:15.898664+00
2089,2,31,29.8,65,-103,-7,480,t,,2026-08-31 17:31:28.835558+00
2090,1,39,26,72.6,-75,10,600,t,,2026-08-31 17:31:30.898214+00
2091,2,32,29.4,65,-104,-6,495,t,,2026-08-31 17:31:43.834976+00
2092,1,40,26,72.7,-75,9.5,615,t,,2026-08-31 17:31:45.898172+00
2093,2,33,29.9,65,-104,-6,510,t,,2026-08-31 17:31:58.835703+00
2094,1,41,26,72.7,-75,9.75,630,t,,2026-08-31 17:32:00.898391+00
2095,1,42,26,72.7,-73,9.5,645,t,,2026-08-31 17:32:15.896869+00
2096,1,43,25.9,72.9,-73,10.25,660,t,,2026-08-31 17:32:30.897549+00
2097,2,36,29.6,65,-104,-10.25,555,t,,2026-08-31 17:32:43.835866+00
2098,1,44,25.9,72.9,-73,9.25,675,t,,2026-08-31 17:32:45.897453+00
2099,2,37,29.4,65,-104,-9.75,570,t,,2026-08-31 17:32:58.833861+00
2100,1,45,25.9,72.9,-72,9.5,690,t,,2026-08-31 17:33:00.896294+00
2101,2,38,29.6,65,-104,-8.75,585,t,,2026-08-31 17:33:13.831826+00
2102,1,46,25.9,73,-72,9.25,705,t,,2026-08-31 17:33:15.900729+00
2103,2,39,29.1,65,-103,-8.25,600,t,,2026-08-31 17:33:28.831676+00
