id,status,started_at,closed_at,timeout_s,w0,w1,w2,w3,n_total,n_nodes
1,closed,2026-09-04 21:03:38.795799+00,2026-09-04 21:05:09.161446+00,90,0.644772,0.202284,0.054991,0.075732,6,1
2,closed,2026-09-04 21:42:31.112602+00,2026-09-04 21:44:01.314454+00,90,0.635274,-0.004744,0.101756,0.143245,32,1
3,closed,2026-09-04 21:47:39.519566+00,2026-09-04 21:49:09.969019+00,90,,,,,0,0
4,closed,2026-09-04 22:08:33.819467+00,2026-09-04 22:09:18.017065+00,90,0.6612859,0.060137555,0.08166467,0.11136022,36,2
5,closed,2026-09-04 22:09:33.936719+00,2026-09-04 22:11:04.084156+00,90,0.652067,0.050949,0.06556,0.092993,12,1
6,closed,2026-09-04 22:15:23.616745+00,2026-09-04 22:16:18.174115+00,90,0.654708,0.058400504,0.07286,0.1045225,64,2
7,closed,2026-09-04 22:17:01.344844+00,2026-09-04 22:18:17.867521+00,90,0.65364945,0.058419,0.071539,0.104532,64,2
8,closed,2026-09-04 22:21:29.332556+00,2026-09-04 22:22:17.987596+00,90,0.650805,0.057513498,0.070727,0.105151,64,2
9,closed,2026-09-04 22:22:30.065541+00,2026-09-04 22:23:17.963744+00,90,0.648788,0.0571175,0.070177004,0.106563,64,2
10,closed,2026-09-04 22:23:28.697265+00,2026-09-04 22:24:58.982294+00,90,0.644897,0.053222,0.063614,0.098947,32,1
11,closed,2026-09-04 22:25:07.733746+00,2026-09-04 22:26:38.310362+00,90,0.644885,0.05322,0.063596,0.098943,32,1
12,closed,2026-09-04 22:27:55.946334+00,2026-09-04 22:28:39.792049+00,90,0.6423545,0.0575995,0.070529506,0.10977,64,2
13,closed,2026-09-04 22:28:56.360449+00,2026-09-04 22:29:40.009799+00,90,0.641682,0.0579665,0.069765,0.1095295,64,2
14,closed,2026-09-04 22:30:01.628243+00,2026-09-04 22:31:32.094261+00,90,0.63786,0.054141,0.063256,0.10197,32,1
15,closed,2026-09-04 22:31:35.771581+00,2026-09-04 22:32:17.869123+00,90,0.6392445,0.059198,0.070125,0.11043,64,2
16,closed,2026-09-04 22:32:24.480774+00,2026-09-04 22:33:18.085488+00,90,0.63748205,0.059939504,0.0702755,0.110815495,64,2
17,closed,2026-09-04 22:33:26.931327+00,2026-09-04 22:34:17.728182+00,90,0.635385,0.060726,0.0705045,0.111223996,64,2
18,closed,2026-09-04 22:34:47.718922+00,2026-09-04 22:35:39.910156+00,90,0.635405,0.061102502,0.070047006,0.1113895,64,2
19,closed,2026-09-04 22:36:05.24652+00,2026-09-04 22:37:18.008254+00,90,0.634817,0.0613435,0.070053995,0.111797005,64,2
