id,node_id,seq,temperature,humidity,rssi,snr,uptime_s,checksum_ok,error,received_at
3177,2,4,30.4,72,-38,9.5,75,t,,2026-09-04 21:03:28.496753+00
3178,1,6,25.8,88.1,-74,9.25,105,t,,2026-09-04 21:03:36.388212+00
3179,2,5,30.2,72,-35,9.75,90,t,,2026-09-04 21:03:42.990082+00
3180,0,0,,,35,6,,f,bad_header,2026-09-04 21:03:45.612803+00
3181,0,0,,,-164,0,,f,bad_header,2026-09-04 21:03:46.709557+00
3182,0,0,,,-84,20,,f,bad_header,2026-09-04 21:03:48.01727+00
3183,0,0,,,35,6,,f,bad_header,2026-09-04 21:03:49.096829+00
3184,0,0,,,-36,10,,f,bad_header,2026-09-04 21:03:49.826613+00
3185,0,0,,,35,6,,f,bad_header,2026-09-04 21:03:51.028527+00
3186,0,0,,,-100,0,,f,bad_header,2026-09-04 21:03:51.744522+00
3187,0,0,,,-143,20,,f,bad_header,2026-09-04 21:03:52.382836+00
3188,0,0,,,-48,-12,,f,bad_header,2026-09-04 21:03:53.446512+00
3189,0,0,,,35,6,,f,bad_header,2026-09-04 21:03:54.748688+00
3190,0,0,,,-100,0,,f,bad_header,2026-09-04 21:03:55.592169+00
3191,0,0,,,-84,20,,f,bad_header,2026-09-04 21:03:56.520404+00
3192,0,0,,,35,6,,f,bad_header,2026-09-04 21:03:59.525353+00
3193,0,0,,,-100,0,,f,bad_header,2026-09-04 21:04:01.127135+00
3194,0,0,,,-143,20,,f,bad_header,2026-09-04 21:04:02.972577+00
3195,0,0,,,35,6,,f,bad_header,2026-09-04 21:04:04.23377+00
3196,0,0,,,-100,0,,f,bad_header,2026-09-04 21:04:05.114451+00
3197,0,0,,,-143,20,,f,bad_header,2026-09-04 21:04:05.813115+00
3198,0,0,,,35,6,,f,bad_header,2026-09-04 21:04:07.071975+00
3199,0,0,,,-100,0,,f,bad_header,2026-09-04 21:04:07.821644+00
3200,0,0,,,-36,10,,f,bad_header,2026-09-04 21:04:08.459746+00
3201,0,0,,,35,6,,f,bad_header,2026-09-04 21:04:09.768356+00
3202,0,0,,,-100,0,,f,bad_header,2026-09-04 21:04:10.405305+00
3203,0,0,,,-36,10,,f,bad_header,2026-09-04 21:04:11.609935+00
3204,0,0,,,35,6,,f,bad_header,2026-09-04 21:04:13.383519+00
3205,0,0,,,-100,0,,f,bad_header,2026-09-04 21:04:14.123277+00
3206,0,0,,,-36,10,,f,bad_header,2026-09-04 21:04:14.683481+00
3207,0,0,,,35,6,,f,bad_header,2026-09-04 21:04:16.219143+00
3208,0,0,,,-100,0,,f,bad_header,2026-09-04 21:04:17.221904+00
3209,0,0,,,-36,10,,f,bad_header,2026-09-04 21:04:17.812751+00
3210,0,0,,,35,6,,f,bad_header,2026-09-04 21:04:19.146084+00
3211,0,0,,,-36,10,,f,bad_header,2026-09-04 21:04:20.415016+00
3212,0,0,,,35,6,,f,bad_header,2026-09-04 21:04:21.850528+00
3213,0,0,,,-100,0,,f,bad_header,2026-09-04 21:04:22.978215+00
3214,0,0,,,-36,10,,f,bad_header,2026-09-04 21:04:24.067751+00
3215,0,0,,,35,6,,f,bad_header,2026-09-04 21:04:25.306259+00
3216,0,0,,,-100,0,,f,bad_header,2026-09-04 21:04:26.056164+00
3217,0,0,,,-36,10,,f,bad_header,2026-09-04 21:04:26.866065+00
3218,0,0,,,35,6,,f,bad_header,2026-09-04 21:04:28.744298+00
3219,0,0,,,-100,0,,f,bad_header,2026-09-04 21:04:29.429803+00
3220,0,0,,,-36,10,,f,bad_header,2026-09-04 21:04:31.06914+00
3221,0,0,,,35,6,,f,bad_header,2026-09-04 21:05:09.146929+00
3222,0,0,,,-100,0,,f,bad_header,2026-09-04 21:05:10.07961+00
3223,0,0,,,-36,10,,f,bad_header,2026-09-04 21:05:12.441713+00
3224,0,0,,,-105,-13.5,,f,bad_header,2026-09-04 21:28:46.854116+00
3225,0,0,,,-102,-11.75,,f,bad_header,2026-09-04 21:38:39.45424+00
3226,1,160,25.3,87.7,-72,9.5,2415,t,,2026-09-04 21:42:06.335668+00
3227,2,159,29.1,72,-107,-1.75,2400,t,,2026-09-04 21:42:12.901046+00
3228,2,160,29.8,72,-106,-1.25,2415,t,,2026-09-04 21:42:27.901657+00
3229,1,162,25.3,87.7,-72,9.75,2445,t,,2026-09-04 21:42:36.070845+00
3230,2,161,29.7,72,-106,-0.75,2430,t,,2026-09-04 21:42:43.067887+00
3231,1,163,25.3,87.5,-72,9.5,2460,t,,2026-09-04 21:42:51.181476+00
3232,2,162,29.9,72,-106,-1,2445,t,,2026-09-04 21:42:57.898751+00
3233,1,164,25.3,87.7,-72,9.75,2475,t,,2026-09-04 21:43:06.066466+00
3234,2,163,29.1,72,-106,-1.75,2460,t,,2026-09-04 21:43:13.033604+00
3235,1,165,25.3,87.5,-72,10,2490,t,,2026-09-04 21:43:21.090856+00
3236,2,164,29.8,72,-107,-5.5,2475,t,,2026-09-04 21:43:27.899423+00
3237,1,166,25.3,87.7,-72,9.5,2505,t,,2026-09-04 21:43:36.179+00
3238,2,165,29.8,72,-107,-6.75,2490,t,,2026-09-04 21:43:42.904688+00
3239,1,167,25.2,87.6,-72,9.25,2520,t,,2026-09-04 21:43:51.067456+00
3240,2,166,29.6,72,-107,-5.25,2505,t,,2026-09-04 21:43:57.902257+00
3241,1,168,25.2,87.8,-72,9.25,2535,t,,2026-09-04 21:44:06.066804+00
3242,2,167,29.9,72,-107,-4.75,2520,t,,2026-09-04 21:44:12.897501+00
3243,1,169,25.3,87.7,-72,9.25,2550,t,,2026-09-04 21:44:21.068397+00
3244,2,168,29.3,72,-107,-2.25,2535,t,,2026-09-04 21:44:27.89826+00
3245,1,170,25.2,87.6,-72,9.75,2565,t,,2026-09-04 21:44:36.066952+00
3246,2,169,29.9,72,-107,-4,2550,t,,2026-09-04 21:44:42.972125+00
3247,1,171,25.2,87.6,-72,10,2580,t,,2026-09-04 21:44:51.411776+00
3248,2,170,29.3,72,-107,-5.75,2565,t,,2026-09-04 21:44:57.895662+00
3249,1,172,25.2,87.6,-72,9.5,2595,t,,2026-09-04 21:45:06.258628+00
3250,1,173,25.1,87.6,-72,9.5,2610,t,,2026-09-04 21:45:21.065165+00
3251,2,172,29.9,72,-107,-5,2595,t,,2026-09-04 21:45:27.894822+00
3252,1,174,25.1,87.6,-72,9.25,2625,t,,2026-09-04 21:45:36.065089+00
3253,2,173,29.3,72,-107,-3.25,2610,t,,2026-09-04 21:45:42.894871+00
3254,1,175,25.1,87.6,-72,9.25,2640,t,,2026-09-04 21:45:51.266015+00
3255,2,174,29.3,72,-107,-3.25,2625,t,,2026-09-04 21:45:57.893857+00
3256,1,176,25.1,87.6,-72,10,2655,t,,2026-09-04 21:46:06.368788+00
3257,2,175,29,72,-107,-5.5,2640,t,,2026-09-04 21:46:13.044769+00
3258,1,177,25.1,87.6,-73,9.25,2670,t,,2026-09-04 21:46:21.316491+00
3259,1,178,25.1,87.8,-72,10,2685,t,,2026-09-04 21:46:36.063521+00
3260,2,177,29.4,72,-107,-3.5,2670,t,,2026-09-04 21:46:42.890865+00
3261,1,179,25.2,87.8,-73,9.5,2700,t,,2026-09-04 21:46:51.116478+00
3262,2,178,29.2,72,-107,-3,2685,t,,2026-09-04 21:46:57.893172+00
3263,1,180,25.2,87.8,-71,9.75,2715,t,,2026-09-04 21:47:06.063578+00
3264,2,179,29.8,72,-107,-3.5,2700,t,,2026-09-04 21:47:12.892302+00
3265,1,181,25.2,87.8,-73,9,2730,t,,2026-09-04 21:47:21.329129+00
3266,2,180,29.3,72,-106,-2.5,2715,t,,2026-09-04 21:47:28.185494+00
3267,1,182,25.2,87.6,-72,9.75,2745,t,,2026-09-04 21:47:36.071095+00
3268,1,183,25.2,87.6,-72,9.75,2760,t,,2026-09-04 21:47:51.372601+00
3269,2,182,29.8,72,-107,-2.75,2745,t,,2026-09-04 21:47:57.889358+00
3270,1,184,25.2,87.6,-72,9.5,2775,t,,2026-09-04 21:48:06.061071+00
3271,2,183,29,72,-107,-2.25,2760,t,,2026-09-04 21:48:12.890082+00
3272,1,185,25.3,87.3,-72,9.75,2790,t,,2026-09-04 21:48:21.227643+00
3273,2,184,29.1,72,-106,-2,2775,t,,2026-09-04 21:48:27.889783+00
3274,1,186,25.3,87.3,-73,9.25,2805,t,,2026-09-04 21:48:36.077661+00
3275,2,185,29.1,72,-107,-4.75,2790,t,,2026-09-04 21:48:43.133799+00
3276,1,187,25.3,87.1,-72,9.25,2820,t,,2026-09-04 21:48:51.058762+00
3277,2,186,29.2,72,-106,-1.5,2805,t,,2026-09-04 21:48:57.886223+00
3278,1,188,25.3,87.3,-72,9.5,2835,t,,2026-09-04 21:49:06.057924+00
3279,2,187,29.6,72,-107,-3.25,2820,t,,2026-09-04 21:49:12.88847+00
3280,1,189,25.3,87.1,-71,9.5,2850,t,,2026-09-04 21:49:21.059521+00
3281,2,188,29.1,72,-106,-1.25,2835,t,,2026-09-04 21:49:27.893609+00
3282,1,190,25.3,87.1,-72,9.5,2865,t,,2026-09-04 21:49:36.083536+00
3283,2,189,29.2,72,-107,-3.25,2850,t,,2026-09-04 21:49:43.147416+00
3284,1,191,25.3,87.3,-73,9.75,2880,t,,2026-09-04 21:49:51.059746+00
3285,2,190,29.2,72,-106,-2,2865,t,,2026-09-04 21:49:57.887211+00
3286,1,192,25.3,87.3,-71,9.75,2895,t,,2026-09-04 21:50:06.058459+00
3287,2,191,29.3,72,-107,-5.5,2880,t,,2026-09-04 21:50:13.050939+00
3288,1,193,25.3,87.3,-71,10.5,2910,t,,2026-09-04 21:50:21.058292+00
3289,2,192,29.4,72,-107,-2.5,2895,t,,2026-09-04 21:50:27.884601+00
3290,1,194,25.3,87.3,-72,9.5,2925,t,,2026-09-04 21:50:36.355903+00
3291,1,2,25,88,-84,9,45,t,,2026-09-04 22:08:23.332533+00
3292,2,32,30.4,69,-56,9.5,495,t,,2026-09-04 22:08:31.430114+00
3293,1,3,25.1,87.8,-83,9.25,60,t,,2026-09-04 22:08:38.334923+00
