id,status,started_at,closed_at,timeout_s,w0,w1,w2,w3,n_total,n_nodes
32,closed,2026-09-05 12:38:09.585259+00,2026-09-05 12:39:39.614152+00,90,0.604783,0.311813,0.024421,0.032827,32,1
33,closed,2026-09-05 12:43:09.659481+00,2026-09-05 12:44:01.298786+00,90,0.5994519,0.31128776,0.024797538,0.03443677,52,2
34,closed,2026-09-05 12:48:09.71971+00,2026-09-05 12:49:01.044537+00,90,0.593969,0.30934,0.025781501,0.036398,64,2
35,closed,2026-09-05 12:53:09.784706+00,2026-09-05 12:54:39.818635+00,90,0.585318,0.306321,0.031572,0.045398,32,1
36,closed,2026-09-05 12:58:09.857671+00,2026-09-05 12:59:01.311785+00,90,0.579365,0.3015725,0.031562,0.045618,64,2
37,closed,2026-09-05 13:03:09.922111+00,2026-09-05 13:04:39.954916+00,90,0.573324,0.300405,0.038048,0.051501,32,1
38,closed,2026-09-05 13:08:09.999515+00,2026-09-05 13:09:40.036541+00,90,0.564747,0.2947,0.04219,0.055792,32,1
39,closed,2026-09-05 13:13:10.081212+00,2026-09-05 13:14:01.867153+00,90,0.5625675,0.29590797,0.0386175,0.052300498,64,2
40,closed,2026-09-05 13:18:10.153805+00,2026-09-05 13:19:01.046067+00,90,0.556973,0.297745,0.039102,0.053222,64,2
41,closed,2026-09-05 13:23:10.225124+00,2026-09-05 13:24:40.261233+00,90,0.55504,0.295845,0.036446,0.049676,32,1
42,closed,2026-09-05 13:28:10.315883+00,2026-09-05 13:29:40.344806+00,90,0.555014,0.295827,0.036396,0.049641,32,1
43,closed,2026-09-05 13:33:10.389645+00,2026-09-05 13:34:40.425391+00,90,0.54934,0.299566,0.045105,0.062448,32,1
44,closed,2026-09-05 13:38:10.462116+00,2026-09-05 13:39:01.285229+00,90,0.542541,0.2965635,0.042877503,0.0602255,64,2
45,closed,2026-09-05 13:43:10.535937+00,2026-09-05 13:44:01.321977+00,90,0.540147,0.2942745,0.043638997,0.0615125,64,2
46,closed,2026-09-05 13:48:10.602706+00,2026-09-05 13:49:40.635551+00,90,0.540329,0.292844,0.048523,0.068592,32,1
47,closed,2026-09-05 13:53:10.677025+00,2026-09-05 13:54:40.710863+00,90,0.537793,0.287926,0.050132,0.070655,32,1
48,closed,2026-09-05 13:58:10.769377+00,2026-09-05 13:59:40.804397+00,90,0.535152,0.285584,0.052208,0.073593,32,1
49,closed,2026-09-05 14:03:10.849925+00,2026-09-05 14:04:40.881477+00,90,0.531924,0.283986,0.05368,0.075461,32,1
50,closed,2026-09-05 14:08:10.92725+00,2026-09-05 14:09:40.963326+00,90,0.528745,0.281002,0.054039,0.077088,32,1
51,closed,2026-09-05 14:13:11.015537+00,2026-09-05 14:14:41.051055+00,90,0.523644,0.278912,0.055566,0.081096,32,1
52,closed,2026-09-05 14:18:11.096096+00,2026-09-05 14:19:08.361743+00,90,0.5432847,0.28665563,0.048154,0.06784546,44,2
53,closed,2026-09-05 14:23:11.170487+00,2026-09-05 14:24:08.37367+00,90,0.53907454,0.28445798,0.046391502,0.065973,64,2
54,closed,2026-09-05 14:28:11.234708+00,2026-09-05 14:29:41.268959+00,90,0.536398,0.2818,0.042314,0.060908,32,1
55,closed,2026-09-05 14:33:11.316369+00,2026-09-05 14:34:41.356727+00,90,0.538086,0.283148,0.051705,0.07477,32,1
56,closed,2026-09-05 14:38:11.394343+00,2026-09-05 14:39:07.977744+00,90,0.533175,0.2779445,0.0486135,0.071164,64,2
57,closed,2026-09-05 14:43:11.462081+00,2026-09-05 14:44:08.191236+00,90,0.530692,0.2764025,0.049523503,0.072983,64,2
58,closed,2026-09-05 14:48:11.53471+00,2026-09-05 14:49:08.120359+00,90,0.5244825,0.27666348,0.050767,0.075261,64,2
59,closed,2026-09-05 14:53:11.599751+00,2026-09-05 14:54:08.263396+00,90,0.5196975,0.276777,0.051266,0.0764835,64,2
60,closed,2026-09-05 14:58:11.673641+00,2026-09-05 14:59:41.705905+00,90,0.516744,0.27739,0.058005,0.086394,32,1
61,closed,2026-09-05 15:03:11.750123+00,2026-09-05 15:04:08.502849+00,90,0.51043403,0.27138048,0.0547445,0.0827305,64,2
62,closed,2026-09-05 15:08:11.81848+00,2026-09-05 15:09:08.09115+00,90,0.5070205,0.2694325,0.0555395,0.084506,64,2
63,closed,2026-09-05 15:13:11.886606+00,2026-09-05 15:14:08.618117+00,90,0.50405896,0.26751202,0.056622,0.086698994,64,2
64,closed,2026-09-05 15:18:11.953143+00,2026-09-05 15:19:07.743034+00,90,0.5000295,0.267674,0.057672,0.087598994,64,2
65,closed,2026-09-05 15:23:12.020623+00,2026-09-05 15:24:42.054692+00,90,0.496759,0.271972,0.065555,0.097568,32,1
66,closed,2026-09-05 15:28:12.097519+00,2026-09-05 15:29:08.013899+00,90,0.48956102,0.267385,0.0611545,0.0924155,64,2
67,closed,2026-09-05 15:33:12.165164+00,2026-09-05 15:34:08.36907+00,90,0.486891,0.265984,0.0612385,0.0933075,64,2
68,closed,2026-09-05 15:38:12.232121+00,2026-09-05 15:39:08.432937+00,90,0.4844525,0.263782,0.061969496,0.09509,64,2
69,closed,2026-09-05 15:43:12.299989+00,2026-09-05 15:44:07.932415+00,90,0.48304498,0.2622895,0.062621,0.097064,64,2
70,closed,2026-09-05 15:48:12.36954+00,2026-09-05 15:49:07.747251+00,90,0.4816695,0.260212,0.063019,0.098661005,64,2
71,closed,2026-09-05 15:53:12.440689+00,2026-09-05 15:54:42.499174+00,90,0.486375,0.260131,0.072113,0.109329,32,1
