id,node_id,seq,n_samples,round_id,w0,w1,w2,w3,rssi,snr,checksum_ok,received_at
794,2,124,32,32,0.604783,0.311813,0.024421,0.032827,-43,10.5,t,2026-09-05 12:39:00.079593+00
795,2,128,32,32,0.60463,0.311963,0.024557,0.033032,-45,9.75,t,2026-09-05 12:40:00.035814+00
796,1,8,8,32,0.603124,0.310159,0.022037,0.029706,-99,-8.25,t,2026-09-05 12:40:56.490099+00
797,2,132,32,32,0.603841,0.312019,0.024482,0.033043,-42,9.5,t,2026-09-05 12:41:00.090864+00
798,1,12,12,32,0.602985,0.310018,0.021879,0.029454,-99,-7.75,t,2026-09-05 12:41:56.444494+00
799,2,136,32,32,0.603386,0.312418,0.024831,0.033788,-42,10,t,2026-09-05 12:42:00.512929+00
800,1,16,16,32,0.603008,0.310038,0.021965,0.029513,-99,-7.5,t,2026-09-05 12:42:56.516638+00
801,2,140,32,32,0.603095,0.312906,0.025418,0.034923,-42,9.25,t,2026-09-05 12:43:00.103213+00
802,1,20,20,33,0.602887,0.309897,0.022144,0.02935,-99,-7.5,t,2026-09-05 12:43:56.534808+00
803,2,144,32,33,0.597305,0.312157,0.026456,0.037616,-42,10,t,2026-09-05 12:44:00.182075+00
804,1,24,24,33,0.597986,0.30982,0.022746,0.031691,-99,-8,t,2026-09-05 12:44:56.949373+00
805,2,148,32,33,0.599866,0.311968,0.026053,0.036384,-42,9.75,t,2026-09-05 12:45:00.031356+00
806,1,28,28,33,0.597943,0.309775,0.022748,0.031632,-99,-9,t,2026-09-05 12:45:56.34715+00
807,2,152,32,33,0.598823,0.311377,0.026071,0.036567,-43,12,t,2026-09-05 12:46:00.154131+00
808,1,32,32,33,0.597923,0.309754,0.022804,0.031614,-99,-8.5,t,2026-09-05 12:46:56.758512+00
809,2,156,32,33,0.598135,0.311286,0.026594,0.037428,-42,10.75,t,2026-09-05 12:46:59.934776+00
810,1,36,32,33,0.597914,0.30975,0.022824,0.031624,-99,-7.75,t,2026-09-05 12:47:56.355933+00
811,2,160,32,33,0.597191,0.31112,0.026961,0.038171,-42,9.75,t,2026-09-05 12:47:59.998301+00
812,1,40,32,34,0.597882,0.309739,0.022807,0.031701,-99,-9.25,t,2026-09-05 12:48:56.614851+00
813,2,164,32,34,0.590056,0.308941,0.028756,0.041095,-42,9.75,t,2026-09-05 12:49:00.044855+00
814,1,44,32,34,0.592748,0.308122,0.024093,0.034094,-99,-8.75,t,2026-09-05 12:49:56.472952+00
815,2,168,32,34,0.59454,0.310581,0.027598,0.038997,-43,9.75,t,2026-09-05 12:50:00.547359+00
816,1,48,32,34,0.592753,0.308133,0.024129,0.034114,-99,-7.5,t,2026-09-05 12:50:56.789057+00
817,2,172,32,34,0.59336,0.310492,0.027849,0.039468,-43,10,t,2026-09-05 12:51:00.375648+00
818,1,52,32,34,0.592746,0.308135,0.024149,0.034112,-99,-8.25,t,2026-09-05 12:51:56.792422+00
819,2,176,32,34,0.591918,0.310253,0.027985,0.039761,-43,9.75,t,2026-09-05 12:52:00.062413+00
820,1,56,32,34,0.592734,0.308131,0.024165,0.034106,-99,-8,t,2026-09-05 12:52:56.496654+00
821,2,180,32,34,0.591278,0.310392,0.029007,0.041473,-42,9.75,t,2026-09-05 12:52:59.974582+00
822,2,184,32,35,0.585318,0.306321,0.031572,0.045398,-42,10,t,2026-09-05 12:54:00.29324+00
823,1,68,32,35,0.58222,0.30325,0.027232,0.039518,-99,-8,t,2026-09-05 12:55:56.410355+00
824,2,192,32,35,0.584171,0.305467,0.032133,0.046189,-42,9.5,t,2026-09-05 12:56:00.093292+00
825,1,72,32,35,0.582204,0.303274,0.027238,0.039537,-99,-8,t,2026-09-05 12:56:56.519493+00
826,2,196,32,35,0.58288,0.304565,0.032567,0.046871,-42,9.75,t,2026-09-05 12:57:00.258938+00
827,1,76,32,35,0.582167,0.303279,0.027177,0.039506,-99,-7.5,t,2026-09-05 12:57:56.427956+00
828,2,200,32,35,0.581379,0.303585,0.032876,0.047265,-42,9.5,t,2026-09-05 12:57:59.907962+00
829,1,80,32,36,0.582096,0.303371,0.027092,0.039535,-98,-7.25,t,2026-09-05 12:58:56.8453+00
830,2,204,32,36,0.576634,0.299774,0.036032,0.051701,-42,10.25,t,2026-09-05 12:59:00.281684+00
831,1,84,32,36,0.577584,0.299822,0.029048,0.042246,-99,-7.75,t,2026-09-05 12:59:56.541471+00
832,2,208,32,36,0.580158,0.30267,0.033459,0.048359,-42,9.5,t,2026-09-05 13:00:00.23061+00
833,1,88,32,36,0.57755,0.299832,0.029028,0.04223,-99,-8,t,2026-09-05 13:00:56.753008+00
834,2,212,32,36,0.57958,0.302704,0.034106,0.049327,-43,9.75,t,2026-09-05 13:01:00.126854+00
835,2,216,32,36,0.578541,0.302267,0.034031,0.049136,-42,10.25,t,2026-09-05 13:02:00.129798+00
836,2,220,32,36,0.577936,0.302292,0.034762,0.049795,-42,9.75,t,2026-09-05 13:03:00.03844+00
837,2,224,32,37,0.573324,0.300405,0.038048,0.051501,-42,9.75,t,2026-09-05 13:04:00.220613+00
838,1,104,32,37,0.569777,0.296858,0.032945,0.044706,-99,-8.5,t,2026-09-05 13:04:55.993945+00
839,2,228,32,37,0.572745,0.299855,0.037784,0.051011,-42,9.75,t,2026-09-05 13:04:59.933144+00
840,1,108,32,37,0.569772,0.296852,0.032923,0.044696,-99,-8.5,t,2026-09-05 13:05:56.546597+00
841,2,232,32,37,0.572076,0.299419,0.038269,0.051648,-42,12,t,2026-09-05 13:05:59.96188+00
842,1,112,32,37,0.56977,0.296852,0.032909,0.044694,-99,-7.25,t,2026-09-05 13:06:56.587516+00
843,2,236,32,37,0.571064,0.298775,0.038794,0.052281,-44,10,t,2026-09-05 13:07:00.281558+00
844,2,240,32,37,0.570452,0.298496,0.039649,0.053427,-49,9.75,t,2026-09-05 13:07:59.975689+00
845,2,244,32,38,0.564747,0.2947,0.04219,0.055792,-47,9.5,t,2026-09-05 13:08:59.938989+00
846,2,248,32,38,0.564937,0.294949,0.042815,0.056724,-48,9.5,t,2026-09-05 13:09:59.768141+00
847,1,128,32,37,0.569688,0.29677,0.032771,0.044546,-98,-4.5,t,2026-09-05 13:10:56.409383+00
848,2,252,32,38,0.564508,0.294705,0.043095,0.057489,-47,9.75,t,2026-09-05 13:11:00.030543+00
849,2,256,32,38,0.563223,0.294201,0.043014,0.057741,-47,9.75,t,2026-09-05 13:12:00.267099+00
850,2,260,32,38,0.562305,0.294302,0.043369,0.058428,-49,9.75,t,2026-09-05 13:13:00.010756+00
851,1,140,32,39,0.569659,0.296744,0.032737,0.044513,-99,-8.5,t,2026-09-05 13:13:56.299345+00
852,2,264,32,39,0.555476,0.295072,0.044498,0.060088,-48,9.75,t,2026-09-05 13:14:00.935963+00
853,1,144,32,39,0.560556,0.293898,0.035691,0.048448,-99,-6.25,t,2026-09-05 13:14:56.445107+00
854,2,268,32,39,0.563866,0.298381,0.041461,0.056483,-47,10,t,2026-09-05 13:15:00.333676+00
855,1,152,32,39,0.560622,0.293959,0.03579,0.048578,-98,-6.75,t,2026-09-05 13:16:56.553378+00
856,2,276,32,39,0.561006,0.299087,0.041847,0.05705,-45,9.75,t,2026-09-05 13:17:00.19164+00
857,1,156,32,39,0.560599,0.293939,0.035765,0.048542,-98,-7.25,t,2026-09-05 13:17:56.559654+00
858,2,280,32,39,0.560015,0.299803,0.042263,0.057661,-46,10.25,t,2026-09-05 13:18:00.353448+00
859,1,160,32,40,0.560507,0.293885,0.035719,0.048456,-99,-7.75,t,2026-09-05 13:18:56.933822+00
860,2,284,32,40,0.553439,0.301605,0.042485,0.057988,-46,9.75,t,2026-09-05 13:19:00.044131+00
861,1,164,32,40,0.555127,0.295905,0.036412,0.049691,-98,-6,t,2026-09-05 13:19:56.470628+00
862,2,288,32,40,0.558695,0.300213,0.042061,0.057573,-45,10,t,2026-09-05 13:20:00.152198+00
863,1,168,32,40,0.555118,0.295902,0.036422,0.049696,-98,-4.5,t,2026-09-05 13:20:56.326073+00
864,2,292,32,40,0.557883,0.300118,0.042364,0.05802,-46,9.75,t,2026-09-05 13:21:00.265593+00
865,2,296,32,40,0.557264,0.2999,0.042783,0.058636,-46,10,t,2026-09-05 13:22:00.175983+00
866,1,176,32,40,0.555088,0.295882,0.036423,0.049682,-99,-5.5,t,2026-09-05 13:22:56.485008+00
867,1,180,32,41,0.55504,0.295845,0.036446,0.049676,-99,-4.5,t,2026-09-05 13:23:56.914978+00
868,1,184,32,41,0.555031,0.295837,0.036435,0.049661,-99,-4.5,t,2026-09-05 13:24:56.5257+00
869,2,308,32,41,0.559584,0.300407,0.041803,0.057554,-46,10,t,2026-09-05 13:25:00.541854+00
870,1,188,32,41,0.555026,0.295829,0.036428,0.049653,-99,-5,t,2026-09-05 13:25:56.821482+00
871,1,192,32,41,0.555025,0.29583,0.036425,0.049655,-98,-3.5,t,2026-09-05 13:26:56.486646+00
872,2,316,32,41,0.557854,0.29883,0.041974,0.057805,-45,10,t,2026-09-05 13:27:00.093092+00
873,1,196,32,41,0.555019,0.295826,0.036414,0.049646,-99,-4.25,t,2026-09-05 13:27:56.422309+00
874,1,200,32,42,0.555014,0.295827,0.036396,0.049641,-99,-5.5,t,2026-09-05 13:28:56.61031+00
875,1,204,32,42,0.555013,0.295827,0.036395,0.04964,-99,-5,t,2026-09-05 13:29:56.746267+00
876,2,328,32,42,0.559595,0.300344,0.041778,0.057555,-44,10.25,t,2026-09-05 13:30:00.329186+00
877,1,208,32,42,0.555016,0.295829,0.036399,0.049646,-99,-5.25,t,2026-09-05 13:30:56.604182+00
878,2,332,32,42,0.558565,0.299794,0.04175,0.057515,-45,10,t,2026-09-05 13:31:00.228018+00
879,1,212,32,42,0.555016,0.295829,0.036397,0.049646,-99,-4.5,t,2026-09-05 13:31:56.484092+00
880,2,336,32,42,0.557849,0.299904,0.042613,0.058783,-44,11.5,t,2026-09-05 13:32:00.017075+00
881,1,216,32,42,0.555015,0.295829,0.036395,0.049644,-99,-4.75,t,2026-09-05 13:32:56.467441+00
882,2,340,32,42,0.556054,0.299173,0.042383,0.058446,-45,9.75,t,2026-09-05 13:32:59.936775+00
883,2,344,32,43,0.54934,0.299566,0.045105,0.062448,-44,10,t,2026-09-05 13:34:00.108004+00
884,1,224,32,43,0.54482,0.295046,0.038433,0.053756,-99,-6,t,2026-09-05 13:34:55.952436+00
885,2,348,32,43,0.548465,0.299067,0.044617,0.061731,-45,10,t,2026-09-05 13:35:00.104204+00
886,1,228,32,43,0.544819,0.295042,0.038428,0.05375,-100,-9.5,t,2026-09-05 13:35:56.785035+00
887,1,232,32,43,0.544832,0.295059,0.03845,0.053779,-100,-8.5,t,2026-09-05 13:36:56.483766+00
888,2,356,32,43,0.54637,0.299535,0.045784,0.063439,-45,10.25,t,2026-09-05 13:37:00.094004+00
889,1,236,32,43,0.544808,0.295034,0.038413,0.053738,-100,-8.25,t,2026-09-05 13:37:56.699235+00
890,2,360,32,43,0.544742,0.299136,0.045717,0.063356,-45,9.5,t,2026-09-05 13:37:59.97112+00
891,1,240,32,44,0.544855,0.295085,0.038483,0.053837,-100,-8.5,t,2026-09-05 13:38:56.194332+00
892,2,364,32,44,0.540227,0.298042,0.047272,0.066614,-46,9.5,t,2026-09-05 13:39:00.325829+00
893,1,244,32,44,0.540207,0.29423,0.039432,0.055743,-100,-9,t,2026-09-05 13:39:56.708237+00
894,2,368,32,44,0.544141,0.298364,0.045496,0.064176,-45,10,t,2026-09-05 13:40:00.302118+00
895,2,372,32,44,0.54346,0.297908,0.045741,0.064703,-45,9.5,t,2026-09-05 13:41:00.397203+00
896,1,252,32,44,0.540241,0.294275,0.039503,0.055845,-100,-7.5,t,2026-09-05 13:41:56.619765+00
897,2,376,32,44,0.542953,0.297397,0.045959,0.065098,-45,9.75,t,2026-09-05 13:42:00.034217+00
898,1,256,32,44,0.540175,0.294217,0.039421,0.055743,-100,-7,t,2026-09-05 13:42:56.424105+00
899,2,380,32,44,0.542846,0.29718,0.046509,0.066011,-46,9.75,t,2026-09-05 13:43:00.792366+00
900,1,260,32,45,0.540144,0.294199,0.039415,0.055754,-100,-6.25,t,2026-09-05 13:43:56.946068+00
901,2,384,32,45,0.54015,0.29435,0.047863,0.067271,-46,10,t,2026-09-05 13:44:00.113191+00
902,1,264,32,45,0.537932,0.292062,0.040367,0.057266,-100,-7.5,t,2026-09-05 13:44:56.910541+00
903,2,388,32,45,0.542655,0.296842,0.04692,0.066268,-46,10,t,2026-09-05 13:44:59.952099+00
904,1,268,32,45,0.537924,0.292057,0.040364,0.057264,-100,-8.5,t,2026-09-05 13:45:56.454087+00
905,2,392,32,45,0.541917,0.296201,0.046593,0.065795,-46,9.75,t,2026-09-05 13:46:00.454064+00
906,1,272,32,45,0.537919,0.292055,0.040364,0.057265,-100,-8.75,t,2026-09-05 13:46:56.645536+00
907,2,396,32,45,0.541844,0.296037,0.047186,0.066654,-46,9.5,t,2026-09-05 13:46:59.866488+00
908,1,276,32,45,0.537914,0.292052,0.040363,0.057264,-100,-8.75,t,2026-09-05 13:47:56.288271+00
909,2,400,32,45,0.54136,0.295394,0.047175,0.066638,-46,9.75,t,2026-09-05 13:47:59.992317+00
910,2,404,32,46,0.540329,0.292844,0.048523,0.068592,-45,10.75,t,2026-09-05 13:49:00.324586+00
911,2,408,32,46,0.540133,0.292576,0.048417,0.068439,-45,9.75,t,2026-09-05 13:50:00.2659+00
912,1,288,32,46,0.535723,0.288233,0.041679,0.059725,-100,-7.25,t,2026-09-05 13:50:56.781528+00
913,2,412,32,46,0.540176,0.292428,0.048753,0.068925,-46,9.5,t,2026-09-05 13:50:59.991826+00
914,2,416,32,46,0.539986,0.291938,0.049042,0.069343,-46,10.25,t,2026-09-05 13:52:00.272524+00
915,2,420,32,46,0.539234,0.290823,0.048859,0.068941,-41,9.75,t,2026-09-05 13:52:59.867885+00
916,2,424,32,47,0.537793,0.287926,0.050132,0.070655,-40,9.75,t,2026-09-05 13:54:00.242848+00
917,2,432,32,47,0.537826,0.287926,0.050669,0.071422,-45,9.75,t,2026-09-05 13:56:00.191097+00
918,2,436,32,47,0.537293,0.287352,0.050621,0.071339,-45,10,t,2026-09-05 13:57:00.038246+00
919,2,440,32,47,0.536917,0.287027,0.05085,0.071665,-46,9.75,t,2026-09-05 13:58:00.099688+00
920,2,444,32,48,0.535152,0.285584,0.052208,0.073593,-41,9.25,t,2026-09-05 13:59:00.061969+00
921,2,448,32,48,0.534945,0.285442,0.052099,0.073462,-42,10.25,t,2026-09-05 14:00:00.029251+00
922,2,452,32,48,0.534704,0.285427,0.052153,0.073606,-42,10.25,t,2026-09-05 14:01:00.334636+00
923,2,456,32,48,0.534282,0.28528,0.05222,0.073652,-42,10.25,t,2026-09-05 14:02:00.075232+00
924,2,460,32,48,0.53415,0.285343,0.052506,0.074212,-42,10,t,2026-09-05 14:03:00.437311+00
925,2,464,32,49,0.531924,0.283986,0.05368,0.075461,-45,10,t,2026-09-05 14:04:00.043784+00
926,2,468,32,49,0.531607,0.283698,0.053402,0.075139,-45,10,t,2026-09-05 14:05:00.452086+00
927,2,472,32,49,0.531387,0.283544,0.05343,0.075354,-45,9.75,t,2026-09-05 14:05:59.956678+00
928,2,476,32,49,0.530669,0.283036,0.052855,0.074966,-45,9.75,t,2026-09-05 14:07:00.166891+00
929,2,480,32,49,0.530987,0.283409,0.053761,0.076361,-45,9.75,t,2026-09-05 14:08:00.100076+00
930,2,484,32,50,0.528745,0.281002,0.054039,0.077088,-46,11.25,t,2026-09-05 14:09:00.320286+00
931,2,488,32,50,0.529095,0.281382,0.05461,0.07798,-45,10,t,2026-09-05 14:10:00.131287+00
932,1,368,32,48,0.530016,0.280521,0.04481,0.064061,-100,-9.75,t,2026-09-05 14:10:56.121678+00
933,2,492,32,50,0.528229,0.280651,0.05396,0.077314,-46,10.25,t,2026-09-05 14:11:00.120989+00
934,2,496,32,50,0.527697,0.280427,0.054156,0.077822,-45,9.25,t,2026-09-05 14:12:00.714059+00
