id,node_id,seq,temperature,humidity,rssi,snr,uptime_s,checksum_ok,error,received_at
3689,2,101,30.9,71,-43,9.5,1530,t,,2026-09-05 12:33:29.429244+00
3690,2,102,30.1,71,-44,9.75,1545,t,,2026-09-05 12:33:44.231888+00
3691,2,103,30.7,71,-46,9.25,1560,t,,2026-09-05 12:33:59.871155+00
3692,1,1,26.5,79.2,-52,8,30,t,,2026-09-05 12:34:11.674086+00
3693,2,104,30.2,71,-47,9.5,1575,t,,2026-09-05 12:34:14.384357+00
3694,1,2,26.6,79.2,-52,8.5,45,t,,2026-09-05 12:34:26.775886+00
3695,2,105,30,71,-46,9.25,1590,t,,2026-09-05 12:34:29.437395+00
3696,1,3,26.6,78.9,-51,8.5,60,t,,2026-09-05 12:34:42.336485+00
3697,2,106,30.4,70,-46,9.5,1605,t,,2026-09-05 12:34:44.388331+00
3698,1,4,26.6,78.7,-51,8.25,75,t,,2026-09-05 12:34:56.732045+00
3699,1,5,26.7,78.4,-51,8.5,90,t,,2026-09-05 12:35:11.933738+00
3700,2,108,30.5,70,-46,10,1635,t,,2026-09-05 12:35:14.228854+00
3701,1,6,26.7,78.3,-51,7.75,105,t,,2026-09-05 12:35:26.747271+00
3702,2,109,30.2,70,-46,9.5,1650,t,,2026-09-05 12:35:29.655635+00
3703,1,7,26.7,78.3,-51,8.25,120,t,,2026-09-05 12:35:41.834288+00
3704,2,110,30.4,70,-46,9.75,1665,t,,2026-09-05 12:35:44.430619+00
3705,1,8,26.7,78.2,-52,8.5,135,t,,2026-09-05 12:35:56.672827+00
3706,2,111,30.4,70,-46,9.5,1680,t,,2026-09-05 12:35:59.255245+00
3707,1,9,26.7,78.1,-51,7.75,150,t,,2026-09-05 12:36:11.672999+00
3708,1,10,26.7,78.2,-52,8,165,t,,2026-09-05 12:36:26.671462+00
3709,2,113,30,70,-45,9.5,1710,t,,2026-09-05 12:36:29.241196+00
3710,1,11,26.7,78.1,-51,8.25,180,t,,2026-09-05 12:36:41.671083+00
3711,2,114,30.8,70,-46,9.5,1725,t,,2026-09-05 12:36:44.57264+00
3712,1,12,26.7,78.1,-51,8.5,195,t,,2026-09-05 12:36:56.747874+00
3713,2,115,30.2,70,-46,9.75,1740,t,,2026-09-05 12:36:59.225375+00
3714,1,13,26.7,77.9,-51,7.75,210,t,,2026-09-05 12:37:11.671683+00
3715,2,116,30.6,70,-46,10,1755,t,,2026-09-05 12:37:14.426479+00
3716,1,14,26.7,77.9,-52,8.25,225,t,,2026-09-05 12:37:26.972063+00
3717,2,117,30.2,70,-47,9.75,1770,t,,2026-09-05 12:37:29.353009+00
3718,2,118,30.7,70,-45,10,1785,t,,2026-09-05 12:37:44.40245+00
3719,2,119,30,70,-46,10,1800,t,,2026-09-05 12:37:59.265157+00
3720,2,120,30.4,70,-48,10,1815,t,,2026-09-05 12:38:14.563383+00
3721,2,121,30.6,70,-45,9.75,1830,t,,2026-09-05 12:38:29.224489+00
3722,2,122,30.7,70,-43,9.75,1845,t,,2026-09-05 12:38:44.221709+00
3723,2,123,30,70,-43,9.75,1860,t,,2026-09-05 12:38:59.358374+00
3724,2,124,30.2,70,-43,9.25,1875,t,,2026-09-05 12:39:14.663516+00
3725,2,125,30.2,69,-43,9,1890,t,,2026-09-05 12:39:29.222229+00
3726,1,2,26.5,76.8,-99,-6.75,45,t,,2026-09-05 12:39:40.75908+00
3727,2,126,30.2,69,-45,9.75,1905,t,,2026-09-05 12:39:44.227092+00
3728,1,3,26.6,76.8,-99,-7.75,60,t,,2026-09-05 12:39:55.758584+00
3729,2,127,30.2,69,-45,9.5,1920,t,,2026-09-05 12:39:59.221083+00
3730,2,128,30.3,69,-47,9.75,1935,t,,2026-09-05 12:40:14.220243+00
3731,2,129,30.2,69,-43,10,1950,t,,2026-09-05 12:40:29.218702+00
3732,1,6,26.6,76.1,-99,-8.25,105,t,,2026-09-05 12:40:40.757674+00
3733,1,7,26.6,76,-99,-8,120,t,,2026-09-05 12:40:55.756518+00
3734,2,131,30,69,-43,9.25,1980,t,,2026-09-05 12:40:59.479254+00
