id,status,started_at,closed_at,timeout_s,n_nodes,n_total,w0,w1,w2,w3
72,closed,2026-09-05 15:58:12.546096+00,2026-09-05 15:59:42.552644+00,90,1,32,0.481366,0.254075,0.076646,0.115944
73,closed,2026-09-05 16:03:12.619879+00,2026-09-05 16:04:07.771175+00,90,2,64,0.4734275,0.2461755,0.070236,0.1062085
74,closed,2026-09-05 16:08:12.687645+00,2026-09-05 16:09:07.837461+00,90,2,64,0.470506,0.2426315,0.071503,0.10924201
75,closed,2026-09-05 16:59:20.12694+00,2026-09-05 17:00:07.964349+00,90,2,64,0.4606165,0.2370185,0.073797,0.1201135
76,closed,2026-09-05 17:04:20.194115+00,2026-09-05 17:05:08.478015+00,90,2,64,0.45907402,0.2360515,0.073112,0.120206505
77,closed,2026-09-05 17:09:20.267518+00,2026-09-05 17:10:50.301015+00,90,1,32,0.46057,0.239797,0.081824,0.13321
78,closed,2026-09-05 17:14:20.343851+00,2026-09-05 17:15:07.787232+00,90,2,64,0.453143,0.232481,0.07422,0.123803005
79,closed,2026-09-05 17:19:20.411654+00,2026-09-05 17:20:08.115424+00,90,2,64,0.44921649,0.23032999,0.076198,0.124849
80,closed,2026-09-05 17:24:20.476011+00,2026-09-05 17:25:08.640089+00,90,2,64,0.44621,0.231308,0.0770005,0.124946
81,closed,2026-09-05 17:29:20.536309+00,2026-09-05 17:30:08.693223+00,90,2,64,0.44418,0.2305555,0.077331,0.126234
82,closed,2026-09-05 17:34:20.607239+00,2026-09-05 17:35:08.318019+00,90,2,64,0.440653,0.2280775,0.0781065,0.128273
83,closed,2026-09-05 17:39:20.672643+00,2026-09-05 17:40:08.152314+00,90,2,64,0.4382255,0.2246,0.0792505,0.1308365
84,closed,2026-09-05 17:44:20.736113+00,2026-09-05 17:45:50.775986+00,90,1,32,0.432923,0.219534,0.071595,0.121353
85,closed,2026-09-05 17:49:20.819349+00,2026-09-05 17:50:50.852434+00,90,1,32,0.440097,0.228751,0.08659,0.143404
86,closed,2026-09-05 17:54:20.89642+00,2026-09-05 17:55:09.163294+00,90,2,64,0.43253702,0.220083,0.080116495,0.135821
87,closed,2026-09-05 17:59:20.967122+00,2026-09-05 18:00:08.027303+00,90,2,64,0.4294005,0.220278,0.080465496,0.13738701
88,closed,2026-09-05 18:04:21.034221+00,2026-09-05 18:05:08.136998+00,90,2,64,0.4258795,0.219586,0.081467,0.13871601
89,closed,2026-09-05 18:09:21.102166+00,2026-09-05 18:10:07.866093+00,90,2,64,0.4244135,0.218682,0.0811045,0.1393095
90,closed,2026-09-05 18:14:21.163101+00,2026-09-05 18:15:08.220151+00,90,2,64,0.42430753,0.2183695,0.0811075,0.14026299
91,closed,2026-09-05 18:19:21.233099+00,2026-09-05 18:20:08.543566+00,90,2,64,0.422961,0.21678749,0.0813605,0.141603
92,closed,2026-09-05 18:24:21.303488+00,2026-09-05 18:25:07.591841+00,90,2,64,0.42142248,0.21599299,0.081905,0.143363
93,closed,2026-09-05 18:29:21.367115+00,2026-09-05 18:30:08.161517+00,90,2,64,0.42073947,0.2148705,0.081608996,0.143949
94,closed,2026-09-05 18:34:21.428773+00,2026-09-05 18:35:08.48275+00,90,2,64,0.4193015,0.21442,0.081369996,0.1445625
95,closed,2026-09-05 18:39:21.491931+00,2026-09-05 18:40:08.069362+00,90,2,64,0.4179985,0.2141585,0.081356496,0.145509
96,closed,2026-09-05 18:44:21.557316+00,2026-09-05 18:45:08.000807+00,90,2,64,0.41654348,0.2134665,0.0814235,0.14700949
97,closed,2026-09-05 18:49:21.622449+00,2026-09-05 18:50:07.626549+00,90,2,64,0.41531003,0.21257201,0.081218496,0.14911401
98,closed,2026-09-05 18:54:21.687333+00,2026-09-05 18:55:08.305847+00,90,2,64,0.412773,0.2123705,0.081351995,0.14991799
99,closed,2026-09-05 18:59:21.763233+00,2026-09-05 19:00:08.310746+00,90,2,64,0.410444,0.2120265,0.082094,0.15117
100,closed,2026-09-05 19:04:21.824927+00,2026-09-05 19:05:08.25812+00,90,2,64,0.40900898,0.21157101,0.082251996,0.152702
101,closed,2026-09-05 19:09:21.888789+00,2026-09-05 19:10:09.108939+00,90,2,64,0.4061775,0.2116125,0.082031995,0.153632
102,closed,2026-09-05 19:14:21.95903+00,2026-09-05 19:15:08.106398+00,90,2,64,0.40466,0.2116305,0.081260994,0.1538615
103,closed,2026-09-05 19:19:22.026512+00,2026-09-05 19:20:52.0605+00,90,0,0,,,,
104,closed,2026-09-05 19:24:22.102015+00,2026-09-05 19:25:52.136882+00,90,0,0,,,,
105,closed,2026-09-05 19:29:22.18135+00,2026-09-05 19:30:52.215089+00,90,1,32,0.407177,0.21559,0.091069,0.168501
106,closed,2026-09-05 19:34:22.265384+00,2026-09-05 19:35:08.045845+00,90,2,64,0.3991205,0.207763,0.0829995,0.15910149
