id,node_id,seq,round_id,n_samples,w0,w1,w2,w3,rssi,snr,checksum_ok,received_at
1127,2,924,72,32,0.481366,0.254075,0.076646,0.115944,-62,10,t,2026-09-05 15:58:59.897048+00
1128,2,928,72,32,0.481071,0.253836,0.076652,0.115952,-62,10,t,2026-09-05 15:59:59.864243+00
1129,1,416,72,32,0.471771,0.244479,0.061599,0.097448,-94,4.5,t,2026-09-05 16:00:06.75959+00
1130,2,932,72,32,0.479334,0.251864,0.075512,0.113986,-65,9.25,t,2026-09-05 16:00:59.654517+00
1131,1,420,72,32,0.471752,0.244455,0.061593,0.097436,-93,4.5,t,2026-09-05 16:01:06.667945+00
1132,2,936,72,32,0.479168,0.251537,0.076717,0.11524,-63,10.25,t,2026-09-05 16:01:59.591608+00
1133,1,424,72,32,0.471684,0.244381,0.061519,0.097341,-94,4.25,t,2026-09-05 16:02:07.585676+00
1134,2,940,72,32,0.478297,0.250723,0.07711,0.115286,-60,9.75,t,2026-09-05 16:02:59.697542+00
1135,1,428,72,32,0.471682,0.24437,0.061547,0.097372,-94,4,t,2026-09-05 16:03:06.645792+00
1136,2,944,73,32,0.475227,0.248088,0.07879,0.114918,-60,9.5,t,2026-09-05 16:03:59.729452+00
1137,1,432,73,32,0.471628,0.244263,0.061682,0.097499,-94,4.5,t,2026-09-05 16:04:06.764631+00
1138,2,948,73,32,0.478801,0.251578,0.076814,0.115779,-58,10.25,t,2026-09-05 16:04:59.667254+00
1139,1,436,73,32,0.469233,0.241977,0.063713,0.098165,-94,4.75,t,2026-09-05 16:05:06.69111+00
1140,2,952,73,32,0.478247,0.251085,0.077751,0.116638,-58,9.75,t,2026-09-05 16:05:59.629537+00
1141,1,440,73,32,0.469265,0.242008,0.063811,0.098273,-94,4.5,t,2026-09-05 16:06:06.855719+00
1142,2,956,73,32,0.477434,0.250441,0.07853,0.117285,-58,9.25,t,2026-09-05 16:06:59.692442+00
1143,1,444,73,32,0.469231,0.241973,0.063799,0.098246,-94,4.75,t,2026-09-05 16:07:06.737114+00
1144,2,960,73,32,0.475307,0.248358,0.077979,0.116262,-58,10,t,2026-09-05 16:07:59.774344+00
1145,1,448,73,32,0.469198,0.241943,0.063792,0.098227,-94,4.75,t,2026-09-05 16:08:06.939535+00
1146,2,964,74,32,0.471997,0.243497,0.079246,0.12035,-58,10,t,2026-09-05 16:08:59.753692+00
1147,1,452,74,32,0.469015,0.241766,0.06376,0.098134,-94,4.75,t,2026-09-05 16:09:06.780829+00
1148,2,968,74,32,0.475205,0.247053,0.076773,0.11744,-58,9.5,t,2026-09-05 16:09:59.879465+00
1149,1,456,74,32,0.466107,0.238234,0.064658,0.1008,-93,4.25,t,2026-09-05 16:10:06.45544+00
1150,2,972,74,32,0.47493,0.246141,0.076861,0.118133,-58,10,t,2026-09-05 16:10:59.806624+00
1151,1,460,74,32,0.466061,0.238196,0.064627,0.100752,-94,4.5,t,2026-09-05 16:11:06.680107+00
1152,2,976,74,32,0.474922,0.245319,0.077061,0.119239,-62,9.5,t,2026-09-05 16:11:59.746895+00
1153,1,464,74,32,0.466032,0.238173,0.064607,0.100726,-94,4.5,t,2026-09-05 16:12:06.712696+00
1154,2,980,74,32,0.474547,0.243974,0.076146,0.118626,-59,9.75,t,2026-09-05 16:12:59.816522+00
1155,1,468,74,32,0.466013,0.238157,0.064596,0.10071,-94,4.5,t,2026-09-05 16:13:06.751797+00
1156,2,984,74,32,0.474681,0.243395,0.076361,0.119583,-60,9.5,t,2026-09-05 16:13:59.625874+00
1157,1,472,74,32,0.466027,0.238174,0.064647,0.100766,-94,4.75,t,2026-09-05 16:14:06.632716+00
1158,2,988,74,32,0.474138,0.242483,0.076674,0.120493,-60,9.75,t,2026-09-05 16:14:59.723627+00
1159,1,476,74,32,0.466052,0.238198,0.064721,0.100845,-94,4.75,t,2026-09-05 16:15:06.655637+00
1160,2,992,74,32,0.474666,0.243159,0.077621,0.122589,-61,9.75,t,2026-09-05 16:15:59.629802+00
1161,1,480,74,32,0.465982,0.238138,0.064651,0.100747,-94,4.75,t,2026-09-05 16:16:06.724066+00
1162,2,996,74,32,0.474377,0.242856,0.077333,0.123063,-61,10,t,2026-09-05 16:16:59.608087+00
1163,1,484,74,32,0.465962,0.238125,0.064654,0.10074,-93,5.25,t,2026-09-05 16:17:06.716272+00
1164,2,1000,74,32,0.474946,0.243495,0.077593,0.124777,-59,9.5,t,2026-09-05 16:17:59.886602+00
1165,2,1004,74,32,0.474858,0.24349,0.076927,0.125128,-58,10,t,2026-09-05 16:18:59.664125+00
1166,1,492,74,32,0.465996,0.238174,0.064757,0.100854,-94,4.5,t,2026-09-05 16:19:06.652061+00
1167,1,496,74,32,0.46594,0.238125,0.064697,0.100773,-94,4.5,t,2026-09-05 16:20:06.678222+00
1168,2,1012,74,32,0.475147,0.244211,0.076697,0.126599,-59,9.5,t,2026-09-05 16:20:59.604366+00
1169,1,500,74,32,0.465927,0.238118,0.064704,0.100774,-94,4,t,2026-09-05 16:21:06.690589+00
1170,1,504,74,32,0.465916,0.238116,0.064707,0.100774,-93,4.25,t,2026-09-05 16:22:06.675654+00
1171,2,1020,74,32,0.473961,0.242929,0.076574,0.126961,-58,9.5,t,2026-09-05 16:22:59.603749+00
1172,1,508,74,32,0.46592,0.238124,0.064724,0.100794,-93,4.25,t,2026-09-05 16:23:06.719088+00
1173,2,1024,74,32,0.473648,0.242831,0.076765,0.12756,-58,9.75,t,2026-09-05 16:23:59.653233+00
1174,1,512,74,32,0.46591,0.238117,0.064722,0.100789,-93,4.25,t,2026-09-05 16:24:06.693513+00
1175,2,1028,74,32,0.473035,0.242339,0.076995,0.127909,-58,10.25,t,2026-09-05 16:24:59.586806+00
1176,1,516,74,32,0.465902,0.238112,0.064722,0.100785,-93,4.25,t,2026-09-05 16:25:06.820099+00
1177,2,1032,74,32,0.472434,0.241824,0.077102,0.128072,-58,9.75,t,2026-09-05 16:25:59.573982+00
1178,1,520,74,32,0.465894,0.238107,0.064723,0.100784,-93,4,t,2026-09-05 16:26:06.720353+00
1179,2,1036,74,32,0.471775,0.241284,0.07705,0.127993,-59,9.5,t,2026-09-05 16:26:59.543113+00
1180,1,524,74,32,0.465888,0.238104,0.064724,0.100783,-93,4,t,2026-09-05 16:27:06.671201+00
1181,2,1040,74,32,0.471438,0.24107,0.077219,0.128248,-59,10,t,2026-09-05 16:27:59.590412+00
1182,1,528,74,32,0.465882,0.238101,0.064723,0.10078,-93,4.25,t,2026-09-05 16:28:06.703109+00
1183,2,1044,74,32,0.470966,0.240825,0.077237,0.128276,-59,9.75,t,2026-09-05 16:28:59.541619+00
1184,1,532,74,32,0.4659,0.238121,0.06476,0.100823,-94,4.25,t,2026-09-05 16:29:06.741735+00
1185,1,536,74,32,0.465713,0.237937,0.064474,0.100473,-94,4,t,2026-09-05 16:30:06.730363+00
1186,2,1052,74,32,0.470513,0.240789,0.077874,0.129242,-58,9.5,t,2026-09-05 16:30:59.764417+00
1187,1,540,74,32,0.465828,0.238074,0.064698,0.100765,-94,4.25,t,2026-09-05 16:31:06.717299+00
1188,1,544,74,32,0.465804,0.238069,0.064705,0.100789,-93,4.25,t,2026-09-05 16:32:06.710764+00
1189,2,1060,74,32,0.469174,0.241033,0.078278,0.129853,-58,9.25,t,2026-09-05 16:32:59.557758+00
1190,1,548,74,32,0.465782,0.238065,0.064715,0.100818,-94,4,t,2026-09-05 16:33:06.894051+00
1191,2,1064,74,32,0.468394,0.240995,0.078426,0.130078,-58,9.25,t,2026-09-05 16:33:59.569677+00
1192,1,552,74,32,0.465759,0.238059,0.064722,0.100842,-94,4.5,t,2026-09-05 16:34:06.658843+00
1193,2,1068,74,32,0.467727,0.241276,0.078879,0.130763,-59,9.25,t,2026-09-05 16:34:59.626837+00
1194,1,556,74,32,0.465737,0.238054,0.06473,0.100867,-94,4.25,t,2026-09-05 16:35:06.689851+00
1195,2,1072,74,32,0.466646,0.241104,0.078931,0.130842,-58,10.5,t,2026-09-05 16:35:59.74663+00
1196,2,1076,74,32,0.46578,0.241102,0.079296,0.131396,-59,10,t,2026-09-05 16:36:59.548413+00
1197,1,564,74,32,0.465685,0.238033,0.064728,0.100899,-94,5.5,t,2026-09-05 16:37:06.573406+00
1198,2,1080,74,32,0.465279,0.241426,0.080007,0.132473,-59,9.75,t,2026-09-05 16:37:59.778549+00
1199,1,568,74,32,0.465699,0.238054,0.064772,0.100958,-94,5,t,2026-09-05 16:38:06.732702+00
1200,2,1084,74,32,0.464731,0.241446,0.080461,0.133162,-57,10,t,2026-09-05 16:38:59.559335+00
1201,1,572,74,32,0.46568,0.238035,0.064746,0.100925,-93,5,t,2026-09-05 16:39:06.73785+00
1202,2,1088,74,32,0.46367,0.240517,0.080281,0.132894,-58,10,t,2026-09-05 16:39:59.681373+00
1203,1,576,74,32,0.465676,0.238032,0.064745,0.100921,-94,4.75,t,2026-09-05 16:40:06.658102+00
1204,2,1092,74,32,0.462949,0.24002,0.080434,0.133133,-58,10.75,t,2026-09-05 16:40:59.585199+00
1205,1,580,74,32,0.465672,0.238029,0.064744,0.100919,-93,5,t,2026-09-05 16:41:06.667761+00
1206,2,1096,74,32,0.462295,0.23933,0.080338,0.133285,-59,9.75,t,2026-09-05 16:41:59.586053+00
1207,1,584,74,32,0.46567,0.238029,0.064747,0.100921,-93,4.75,t,2026-09-05 16:42:06.68442+00
1208,2,1100,74,32,0.462301,0.239268,0.081034,0.134461,-59,9.5,t,2026-09-05 16:42:59.566531+00
1209,1,588,74,32,0.46572,0.23808,0.064831,0.101023,-94,4.75,t,2026-09-05 16:43:06.643818+00
1210,2,1104,74,32,0.461552,0.238438,0.080823,0.134389,-57,10,t,2026-09-05 16:43:59.51231+00
1211,1,592,74,32,0.465666,0.238031,0.064762,0.100933,-97,3.5,t,2026-09-05 16:44:06.704227+00
1212,2,1108,74,32,0.460016,0.237123,0.079105,0.132512,-62,10,t,2026-09-05 16:44:59.715126+00
1213,1,596,74,32,0.465656,0.238027,0.064761,0.100928,-95,3.25,t,2026-09-05 16:45:06.729891+00
1214,2,1112,74,32,0.460305,0.237518,0.078999,0.133012,-67,9,t,2026-09-05 16:45:59.535564+00
1215,1,600,74,32,0.46565,0.238021,0.064758,0.100922,-95,3,t,2026-09-05 16:46:06.670292+00
1216,2,1116,74,32,0.460095,0.237362,0.078805,0.13298,-66,9.25,t,2026-09-05 16:46:59.638493+00
1217,1,604,74,32,0.465645,0.238018,0.064757,0.100919,-95,2.75,t,2026-09-05 16:47:06.640882+00
1218,2,1120,74,32,0.459733,0.237165,0.078674,0.132955,-67,9.5,t,2026-09-05 16:47:59.595604+00
1219,1,608,74,32,0.465642,0.238017,0.064759,0.100919,-96,2.25,t,2026-09-05 16:48:06.730794+00
1220,2,1148,74,32,0.459724,0.237666,0.08021,0.135569,-71,7.75,t,2026-09-05 16:54:59.519714+00
1221,1,636,74,32,0.465472,0.237938,0.064786,0.100916,-96,3.25,t,2026-09-05 16:55:06.64422+00
1222,2,1152,74,32,0.46015,0.238267,0.080553,0.136081,-69,8.75,t,2026-09-05 16:55:59.711175+00
1223,1,640,74,32,0.465386,0.237901,0.064804,0.100928,-95,3.75,t,2026-09-05 16:56:06.557823+00
1224,1,644,74,32,0.465316,0.23788,0.064858,0.100986,-95,3.25,t,2026-09-05 16:57:06.939166+00
1225,2,1160,74,32,0.458917,0.237679,0.080528,0.136044,-71,8,t,2026-09-05 16:57:59.792542+00
1226,1,648,74,32,0.465247,0.237859,0.064913,0.101044,-96,4,t,2026-09-05 16:58:06.618728+00
1227,2,1164,74,32,0.458266,0.237397,0.080912,0.136618,-67,9,t,2026-09-05 16:58:59.483003+00
1228,1,652,74,32,0.465194,0.237837,0.064938,0.101072,-95,3.25,t,2026-09-05 16:59:06.65286+00
1229,2,1168,75,32,0.456274,0.236261,0.082458,0.138926,-64,8.75,t,2026-09-05 16:59:59.49777+00
1230,1,656,75,32,0.464959,0.237776,0.065136,0.101301,-95,3.25,t,2026-09-05 17:00:06.854664+00
1231,1,660,75,32,0.455057,0.231483,0.065157,0.10947,-95,3.75,t,2026-09-05 17:01:06.806673+00
1232,2,1176,75,32,0.465518,0.242098,0.080217,0.129695,-61,9.25,t,2026-09-05 17:02:00.123663+00
1233,1,664,75,32,0.455009,0.231468,0.065188,0.109504,-95,4.5,t,2026-09-05 17:02:07.101545+00
1234,2,1180,75,32,0.465622,0.242517,0.081049,0.130937,-65,9,t,2026-09-05 17:03:00.120316+00
1235,1,668,75,32,0.454989,0.231454,0.065196,0.109515,-95,4.5,t,2026-09-05 17:03:06.377963+00
1236,2,1184,75,32,0.464525,0.241414,0.080479,0.130086,-62,9.25,t,2026-09-05 17:03:59.616274+00
1237,1,672,75,32,0.454988,0.231455,0.065201,0.10952,-94,4.5,t,2026-09-05 17:04:06.4824+00
1238,2,1188,76,32,0.463176,0.240656,0.081021,0.130894,-60,9.75,t,2026-09-05 17:05:01.593066+00
1239,1,676,76,32,0.454972,0.231447,0.065203,0.109519,-95,4.5,t,2026-09-05 17:05:07.222979+00
1240,2,1192,76,32,0.464906,0.241949,0.079648,0.129962,-60,9.75,t,2026-09-05 17:05:59.805925+00
1241,1,680,76,32,0.453997,0.230976,0.065161,0.110414,-95,4.75,t,2026-09-05 17:06:07.304027+00
1242,2,1196,76,32,0.464874,0.242046,0.080321,0.130967,-67,8.25,t,2026-09-05 17:06:59.749537+00
1243,2,1200,76,32,0.464221,0.241594,0.080488,0.131216,-63,9.5,t,2026-09-05 17:08:00.067526+00
1244,1,688,76,32,0.453965,0.230952,0.06513,0.110378,-94,5.25,t,2026-09-05 17:08:06.979334+00
1245,2,1204,76,32,0.463675,0.24149,0.080881,0.131803,-67,8.75,t,2026-09-05 17:08:59.767372+00
1246,2,1208,77,32,0.46057,0.239797,0.081824,0.13321,-64,9.25,t,2026-09-05 17:10:00.749435+00
1247,2,1212,77,32,0.460212,0.239606,0.081707,0.133035,-61,9.25,t,2026-09-05 17:10:59.786392+00
1248,1,700,77,32,0.450088,0.229316,0.065412,0.112982,-94,5.75,t,2026-09-05 17:11:07.540871+00
1249,2,1216,77,32,0.458933,0.238084,0.080366,0.131274,-61,9.25,t,2026-09-05 17:11:59.569981+00
1250,1,704,77,32,0.450082,0.229311,0.065409,0.112979,-94,5.25,t,2026-09-05 17:12:06.73947+00
1251,2,1220,77,32,0.459048,0.238203,0.080446,0.131816,-60,10,t,2026-09-05 17:13:00.193696+00
1252,1,708,77,32,0.450074,0.229308,0.065409,0.112978,-94,5.25,t,2026-09-05 17:13:07.153896+00
1253,2,1224,77,32,0.458369,0.237556,0.080037,0.131353,-60,9.25,t,2026-09-05 17:13:59.897221+00
1254,1,712,77,32,0.450069,0.229304,0.065409,0.112977,-95,5.25,t,2026-09-05 17:14:06.85189+00
1255,2,1228,78,32,0.456231,0.235663,0.083011,0.134615,-62,9.5,t,2026-09-05 17:14:59.776721+00
1256,1,716,78,32,0.450055,0.229299,0.065429,0.112991,-94,5.25,t,2026-09-05 17:15:06.691001+00
1257,2,1232,78,32,0.459173,0.238353,0.081225,0.134117,-61,9.75,t,2026-09-05 17:15:59.900129+00
1258,1,720,78,32,0.448137,0.227476,0.066379,0.114145,-94,5.25,t,2026-09-05 17:16:06.672521+00
1259,2,1236,78,32,0.458438,0.237504,0.081622,0.134457,-62,9.25,t,2026-09-05 17:16:59.811013+00
1260,1,724,78,32,0.448111,0.227451,0.066338,0.114098,-94,5.25,t,2026-09-05 17:17:06.773405+00
1261,2,1240,78,32,0.457817,0.236985,0.08248,0.135321,-63,9.5,t,2026-09-05 17:17:59.716247+00
1262,1,728,78,32,0.448124,0.227468,0.066364,0.114133,-94,5.5,t,2026-09-05 17:18:06.883514+00
1263,2,1244,78,32,0.455563,0.235209,0.082252,0.134114,-61,9.5,t,2026-09-05 17:18:59.72371+00
1264,1,732,78,32,0.448074,0.227421,0.06629,0.114045,-95,5.5,t,2026-09-05 17:19:06.886415+00
1265,2,1248,79,32,0.450337,0.233198,0.086028,0.135536,-61,9.75,t,2026-09-05 17:19:59.628329+00
1266,1,736,79,32,0.448096,0.227462,0.066368,0.114162,-94,5.25,t,2026-09-05 17:20:06.951047+00
1267,2,1252,79,32,0.453928,0.235476,0.082123,0.133348,-64,8.75,t,2026-09-05 17:21:00.045835+00
1268,1,740,79,32,0.444326,0.225443,0.06854,0.11542,-95,5.25,t,2026-09-05 17:21:07.212046+00
1269,2,1256,79,32,0.453103,0.235573,0.0822,0.133145,-65,9,t,2026-09-05 17:22:00.155057+00
1270,1,744,79,32,0.444313,0.225436,0.068527,0.115415,-94,5,t,2026-09-05 17:22:07.1254+00
1271,2,1260,79,32,0.452703,0.236082,0.082074,0.132859,-65,9.5,t,2026-09-05 17:23:00.157627+00
1272,1,748,79,32,0.444313,0.225441,0.068535,0.115436,-94,5.25,t,2026-09-05 17:23:06.814607+00
1273,2,1264,79,32,0.452044,0.236569,0.082462,0.132986,-63,9,t,2026-09-05 17:24:00.058102+00
1274,1,752,79,32,0.444258,0.225391,0.068455,0.115349,-95,4.75,t,2026-09-05 17:24:06.823604+00
1275,2,1268,80,32,0.448158,0.237188,0.085475,0.134414,-61,11.25,t,2026-09-05 17:24:59.822933+00
1276,1,756,80,32,0.444262,0.225428,0.068526,0.115478,-95,4.75,t,2026-09-05 17:25:07.406797+00
1277,2,1272,80,32,0.450877,0.236248,0.082823,0.13335,-61,9.5,t,2026-09-05 17:25:59.976988+00
1278,1,760,80,32,0.441397,0.226498,0.069465,0.115665,-94,5,t,2026-09-05 17:26:10.525605+00
1279,2,1276,80,32,0.450359,0.236183,0.083054,0.133637,-61,9,t,2026-09-05 17:26:59.563241+00
1280,1,764,80,32,0.441395,0.226498,0.069467,0.115676,-94,5.25,t,2026-09-05 17:27:07.354981+00
1281,2,1280,80,32,0.450094,0.236301,0.083531,0.134339,-61,9.75,t,2026-09-05 17:27:59.784378+00
1282,1,768,80,32,0.441393,0.226499,0.069467,0.115684,-95,4.75,t,2026-09-05 17:28:06.870529+00
1283,2,1284,80,32,0.449838,0.236165,0.083934,0.134932,-61,9.25,t,2026-09-05 17:28:59.682425+00
1284,1,772,80,32,0.44139,0.226498,0.069469,0.115691,-95,4.75,t,2026-09-05 17:29:07.346923+00
1285,2,1288,81,32,0.44699,0.234623,0.085184,0.136769,-62,9.5,t,2026-09-05 17:29:59.902349+00
1286,1,776,81,32,0.44137,0.226488,0.069478,0.115699,-95,4.75,t,2026-09-05 17:30:07.54222+00
