round_id,node_id,timeout_s,latence_s,dans_les_temps,paquets_poids_recus
72,1,90,114.213494,f,4
72,2,90,47.350952,t,5
73,1,90,54.144752,t,5
73,2,90,47.109573,t,5
74,1,90,54.093184,t,43
74,2,90,47.066047,t,40
75,1,90,46.727724,t,5
75,2,90,39.370830,t,4
76,1,90,47.028864,t,3
76,2,90,41.398951,t,5
77,1,90,107.273353,f,4
77,2,90,40.481917,t,5
78,1,90,46.347150,t,5
78,2,90,39.432870,t,5
79,1,90,46.539393,t,5
79,2,90,39.216675,t,5
80,1,90,46.930786,t,5
80,2,90,39.346922,t,5
81,1,90,47.005911,t,4
81,2,90,39.366040,t,5
82,1,90,46.559096,t,5
82,2,90,39.072586,t,5
83,1,90,46.218717,t,4
83,2,90,38.737675,t,5
84,1,90,46.193535,t,5
84,2,90,99.125380,f,4
85,1,90,108.911776,f,4
85,2,90,39.371378,t,5
86,1,90,46.203733,t,5
86,2,90,39.057947,t,5
87,1,90,45.887369,t,5
87,2,90,38.690175,t,5
88,1,90,45.921882,t,5
88,2,90,38.889819,t,5
89,1,90,45.673291,t,5
89,2,90,38.546291,t,4
90,1,90,45.905786,t,5
90,2,90,40.169207,t,5
91,1,90,46.130787,t,5
91,2,90,38.456005,t,5
92,1,90,45.038101,t,5
92,2,90,38.464226,t,5
93,1,90,45.691857,t,4
93,2,90,38.328933,t,5
94,1,90,45.529707,t,5
94,2,90,38.252512,t,5
95,1,90,45.382108,t,5
95,2,90,38.275817,t,5
96,1,90,45.197088,t,4
96,2,90,37.770192,t,5
97,1,90,44.717875,t,5
97,2,90,38.369642,t,4
98,1,90,45.297386,t,5
98,2,90,38.121340,t,4
99,1,90,45.406997,t,4
99,2,90,37.886165,t,5
100,1,90,45.115282,t,5
100,2,90,37.853082,t,5
101,1,90,45.966998,t,5
101,2,90,37.770077,t,5
102,1,90,44.894725,t,2
102,2,90,37.788392,t,2
105,1,90,105.090469,f,4
105,2,90,37.516951,t,5
106,1,90,44.964980,t,1
106,2,90,37.710437,t,2
