id,node_id,seq,temperature,humidity,rssi,snr,uptime_s,checksum_ok,received_at
5003,1,355,26,81.3,-94,4,5340,t,2026-09-05 15:45:06.186287+00
5004,2,868,30.5,67,-58,9.75,13035,t,2026-09-05 15:45:14.15248+00
5005,1,356,25.9,81.4,-93,4.5,5355,t,2026-09-05 15:45:21.185836+00
5006,2,869,30,67,-58,9.75,13050,t,2026-09-05 15:45:29.152473+00
5007,1,357,26,81.3,-94,3.75,5370,t,2026-09-05 15:45:36.188214+00
5008,2,870,30.6,67,-58,9.75,13065,t,2026-09-05 15:45:44.152212+00
5009,1,358,26,81.3,-93,4.25,5385,t,2026-09-05 15:45:51.18493+00
5010,2,871,30.6,67,-58,9.75,13080,t,2026-09-05 15:45:59.206758+00
5011,1,359,26,81.3,-94,3.75,5400,t,2026-09-05 15:46:06.187761+00
5012,2,872,30.5,67,-58,9.5,13095,t,2026-09-05 15:46:14.151459+00
5013,1,360,25.9,81.4,-94,3.75,5415,t,2026-09-05 15:46:21.186454+00
5014,2,873,30.7,67,-57,9.75,13110,t,2026-09-05 15:46:29.246008+00
5015,1,361,25.9,81.4,-94,4.25,5430,t,2026-09-05 15:46:36.183567+00
5016,2,874,30.9,67,-58,9.25,13125,t,2026-09-05 15:46:44.150509+00
5017,1,362,25.9,81.4,-94,3.5,5445,t,2026-09-05 15:46:51.186919+00
5018,2,875,30.2,67,-58,9.5,13140,t,2026-09-05 15:46:59.151525+00
5019,1,363,25.9,81.4,-94,4,5460,t,2026-09-05 15:47:06.187451+00
5020,1,364,25.9,81.4,-94,4.5,5475,t,2026-09-05 15:47:21.185173+00
5021,2,877,30.2,67,-54,9.75,13170,t,2026-09-05 15:47:29.407082+00
5022,1,365,25.9,81.4,-94,4.25,5490,t,2026-09-05 15:47:36.281317+00
5023,2,878,30.2,67,-63,9.5,13185,t,2026-09-05 15:47:44.405875+00
5024,1,366,25.9,81.4,-94,3.75,5505,t,2026-09-05 15:47:51.184437+00
5025,2,879,30.3,67,-62,9.75,13200,t,2026-09-05 15:47:59.362382+00
5026,1,367,25.9,81.4,-93,4.75,5520,t,2026-09-05 15:48:06.256035+00
5027,2,880,30.2,67,-59,9.25,13215,t,2026-09-05 15:48:14.195907+00
5028,1,368,26,81.3,-93,4.5,5535,t,2026-09-05 15:48:21.292679+00
5029,2,881,30.2,68,-63,9.25,13230,t,2026-09-05 15:48:29.177423+00
5030,1,369,26,81.3,-94,4,5550,t,2026-09-05 15:48:36.443645+00
5031,2,882,30.6,68,-64,9.5,13245,t,2026-09-05 15:48:44.145982+00
5032,1,370,26,81.3,-94,4.5,5565,t,2026-09-05 15:48:51.181918+00
5033,2,883,30.1,68,-62,9.5,13260,t,2026-09-05 15:48:59.145023+00
5034,1,371,26,81.3,-93,4.5,5580,t,2026-09-05 15:49:06.180312+00
5035,2,884,30.1,68,-64,9.5,13275,t,2026-09-05 15:49:14.206753+00
5036,1,372,26,81.3,-95,9.5,5595,t,2026-09-05 15:49:21.214738+00
5037,2,885,30.1,68,-62,9.25,13290,t,2026-09-05 15:49:29.143772+00
5038,1,373,26,81.3,-94,4.75,5610,t,2026-09-05 15:49:36.180346+00
5039,2,886,30,68,-62,9.25,13305,t,2026-09-05 15:49:44.146324+00
5040,1,374,26,81.3,-93,5,5625,t,2026-09-05 15:49:51.347163+00
