id,status,started_at,closed_at,timeout_s,n_nodes,n_total,participants
295,closed,2026-09-06T13:36:58.306622+00:00,2026-09-06T13:37:54.713100+00:00,90,2,32,"1,2"
296,closed,2026-09-06T13:41:58.377768+00:00,2026-09-06T13:42:54.650994+00:00,120,2,64,"1,2"
297,closed,2026-09-06T13:46:58.501981+00:00,2026-09-06T13:47:54.600991+00:00,150,2,64,"1,2"
298,closed,2026-09-06T13:51:58.588112+00:00,2026-09-06T13:52:55.333952+00:00,90,2,64,"1,2"
299,closed,2026-09-06T13:56:58.656409+00:00,2026-09-06T13:57:54.631535+00:00,120,2,64,"1,2"
300,closed,2026-09-06T14:01:58.718983+00:00,2026-09-06T14:03:54.844030+00:00,150,2,64,"1,2"
301,closed,2026-09-06T14:06:58.794972+00:00,2026-09-06T14:08:28.835285+00:00,90,1,32,1
302,closed,2026-09-06T14:11:58.881973+00:00,2026-09-06T14:12:54.755425+00:00,120,2,64,"1,2"
303,closed,2026-09-06T14:16:58.946443+00:00,2026-09-06T14:18:55.346586+00:00,150,2,64,"1,2"
304,closed,2026-09-06T14:21:59.023526+00:00,2026-09-06T14:22:54.844979+00:00,90,2,64,"1,2"
305,closed,2026-09-06T14:26:59.095521+00:00,2026-09-06T14:27:54.822028+00:00,120,2,64,"1,2"
306,closed,2026-09-06T14:31:59.221934+00:00,2026-09-06T14:32:54.536012+00:00,150,2,64,"1,2"
307,closed,2026-09-06T14:36:59.284793+00:00,2026-09-06T14:37:54.894821+00:00,90,2,64,"1,2"
308,closed,2026-09-06T14:41:59.347348+00:00,2026-09-06T14:42:54.941304+00:00,120,2,64,"1,2"
309,closed,2026-09-06T14:46:59.416149+00:00,2026-09-06T14:48:48.927023+00:00,150,2,64,"1,2"
310,closed,2026-09-06T14:51:59.502885+00:00,2026-09-06T14:52:54.909791+00:00,90,2,64,"1,2"
311,closed,2026-09-06T14:56:59.566259+00:00,2026-09-06T14:57:54.825061+00:00,120,2,64,"1,2"
312,closed,2026-09-06T15:01:59.636005+00:00,2026-09-06T15:02:55.156835+00:00,150,2,64,"1,2"
313,closed,2026-09-06T15:06:59.696533+00:00,2026-09-06T15:07:55.152603+00:00,90,2,64,"1,2"
314,closed,2026-09-06T15:11:59.757855+00:00,2026-09-06T15:12:55.364835+00:00,120,2,64,"1,2"
315,closed,2026-09-06T15:16:59.830057+00:00,2026-09-06T15:17:55.279804+00:00,150,2,64,"1,2"
316,closed,2026-09-06T15:21:59.898349+00:00,2026-09-06T15:22:55.145456+00:00,90,2,64,"1,2"
