round_id,node_id,timeout_s,latence_s,dans_les_temps
295,1,90,55.744149,t
295,2,90,50.086870,t
296,1,120,55.665253,t
296,2,120,50.281725,t
297,1,150,55.534419,t
297,2,150,50.384457,t
298,1,90,56.172544,t
298,2,90,50.126645,t
299,1,120,55.365238,t
299,2,120,49.763046,t
300,1,150,115.554453,t
300,2,150,49.702895,t
301,1,90,55.511596,t
301,2,90,109.664467,f
302,1,120,55.356051,t
302,2,120,49.469815,t
303,1,150,115.842804,t
303,2,150,49.483651,t
304,1,90,55.315716,t
304,2,90,49.371441,t
305,1,120,55.159206,t
305,2,120,49.221558,t
306,1,150,54.810621,t
306,2,150,49.202198,t
307,1,90,55.018886,t
307,2,90,49.012355,t
308,1,120,55.013019,t
308,2,120,49.040357,t
309,1,150,54.864581,t
309,2,150,108.935547,t
310,1,90,54.842993,t
310,2,90,48.828746,t
311,1,120,54.683547,t
311,2,120,48.838123,t
312,1,150,54.829941,t
312,2,150,48.614746,t
313,1,90,54.760263,t
313,2,90,48.698764,t
314,1,120,54.897194,t
314,2,120,48.832361,t
315,1,150,54.740258,t
315,2,150,48.810611,t
316,1,90,54.613862,t
316,2,90,48.319071,t
317,1,120,53.986115,t
317,2,120,48.575003,t
318,1,150,54.447173,t
318,2,150,48.638223,t
319,1,90,54.648660,t
319,2,90,48.445622,t
320,1,120,53.753668,t
320,2,120,48.495543,t
321,1,150,54.413012,t
321,2,150,48.173693,t
322,1,90,54.127190,t
322,2,90,48.030432,t
323,1,120,114.404964,t
323,2,120,48.256954,t
324,1,150,54.035302,t
324,2,150,47.667542,t
325,1,90,53.948154,t
325,2,90,47.671650,t
326,1,120,53.860187,t
326,2,120,47.766070,t
327,1,150,53.881154,t
327,2,150,47.790659,t
328,1,90,53.582557,t
328,2,90,47.877998,t
329,1,120,173.916538,f
329,2,120,47.910083,t
330,1,150,53.459555,t
330,2,150,50.351426,t
331,1,90,53.383081,t
331,2,90,107.048561,f
332,1,120,53.227929,t
332,2,120,47.487723,t
333,1,150,53.281212,t
333,2,150,47.026517,t
334,1,90,52.968306,t
334,2,90,47.183041,t
335,1,120,53.012609,t
335,2,120,46.985162,t
336,1,150,54.726528,t
336,2,150,47.036472,t
337,1,90,54.014976,t
337,2,90,47.420454,t
338,1,120,52.748193,t
338,2,120,46.863332,t
339,1,150,52.923617,t
339,2,150,46.849344,t
340,1,90,112.747699,f
340,2,90,46.711756,t
341,2,120,47.166752,t
342,1,150,112.598021,t
342,2,150,46.654139,t
343,2,90,46.414550,t
344,2,120,46.683734,t
345,1,150,292.130409,f
345,2,150,46.234675,t
346,2,90,47.133009,t
347,2,120,46.225048,t
348,1,150,172.373106,f
348,2,150,45.820884,t
349,1,90,51.642470,t
349,2,90,45.830789,t
350,1,120,51.586802,t
350,2,120,45.670018,t
351,1,150,51.547537,t
351,2,150,45.614710,t
352,1,90,51.145140,t
352,2,90,45.628658,t
353,1,120,171.300147,f
353,2,120,45.362758,t
354,2,150,105.386517,t
355,2,90,45.528253,t
356,1,120,231.296654,f
356,2,120,45.276772,t
